Time of Rating,02-May-2016 13:44:08
Multimedia File,all_vocal_1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.12111
2,7.5778
3,14.6786
4,23.6118
5,24.9317
6,23.7107
7,21.8512
8,21.7993
9,20.7785
10,14.9335
11,12.4568
12,12.4568
13,12.4568
14,12.0415
15,7.485
16,-0.37898
17,-14.97
18,-32.1635
19,-48.2353
20,-61.0727
21,-72.5606
22,-79.3662
23,-89.7182
24,-94.0831
25,-97.5606
26,-94.409
27,-85.4325
28,-76.1246
29,-64.4873
30,-61.2457
31,-61.2457
32,-60.8131
33,-53.8754
34,-62.9585
35,-62.5952
36,-51.0836
37,-52.8258
38,-50.6283
39,-50.865
40,-54.7405
41,-64.4327
42,-65.744
43,-65.9362
