Time of Rating,07-May-2016 14:13:59
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-0.048233
3,1.4216
4,20.0582
5,24.1157
6,24.1311
7,28.328
8,42.3422
9,49.5024
10,54.6624
11,54.6624
12,54.6624
13,54.6624
14,54.6624
15,54.6624
16,54.6624
17,54.6624
18,54.6624
19,54.6624
20,54.6624
21,54.6624
22,53.867
23,42.3519
24,37.5021
25,51.0948
26,53.6978
27,53.6978
28,53.6978
29,53.6978
30,53.6978
31,53.6978
32,53.6978
33,53.6978
34,53.6978
35,53.6978
36,53.6978
37,53.6978
38,53.4439
39,53.1511
40,52.1053
41,52.107
42,55.9486
43,56.8286
44,57.8778
45,59.0836
46,61.1736
47,62.0579
48,62.0579
49,62.0119
50,51.5654
51,57.3419
52,66.8303
53,66.881
54,66.881
55,66.881
56,66.881
57,66.881
58,64.0032
59,56.9614
60,61.7025
61,63.9871
62,63.3948
63,62.1957
64,62.0579
65,62.0579
66,62.0579
67,55.847
68,44.1127
69,38.8424
70,38.8746
71,46.2701
72,47.8778
73,47.91
74,47.91
75,47.91
76,47.91
77,47.91
78,47.91
79,47.6045
80,47.5884
81,47.5884
82,47.5884
83,47.5884
84,47.5884
85,47.5884
86,47.8939
87,47.91
88,47.91
89,48.3081
90,50.0965
91,52.8939
92,38.3483
93,48.0225
94,54.6777
95,42.2745
96,34.5276
97,47.25
98,53.3456
99,53.3762
100,53.3762
101,53.3762
102,53.3762
103,52.5953
104,38.6021
105,30.9907
106,46.3505
107,51.5992
108,51.7685
109,51.7685
110,51.7685
111,51.7685
112,51.7685
113,51.8757
114,52.09
115,52.09
116,52.09
117,52.09
118,52.09
119,52.09
120,52.09
121,52.09
122,52.09
123,52.09
124,52.09
125,52.09
126,52.09
127,52.09
128,52.09
129,52.09
130,52.09
131,52.09
132,52.09
133,52.09
134,52.09
135,52.09
136,49.7627
137,51.865
138,54.0193
139,54.0193
140,54.0193
141,54.0193
142,54.0193
143,54.0193
144,54.0193
145,54.0193
146,54.0193
147,54.0193
148,50.2833
149,27.145
150,7.5639
151,17.3794
152,16.9775
153,8.5531
154,8.3263
155,6.5534
156,-1.7093
157,-6.5227
158,-12.6248
159,-26.7203
160,-39.5192
161,-53.1393
162,-57.0663
163,-57.2347
164,-57.2347
165,-57.1704
166,-56.9132
167,-56.6835
168,-56.5916
169,-56.5916
170,-56.5916
171,-56.7448
172,-59.4212
173,-60.2979
174,-59.9755
175,-59.8071
176,-59.6999
177,-60.7878
178,-62.3794
179,-62.3794
180,-62.3794
181,-62.3794
182,-62.3794
183,-62.3794
