Time of Rating,19-Apr-2016 14:33:53
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.033846
2,2.7867
3,9.0193
4,15
5,19.1479
6,23.0157
7,24.9579
8,22.4598
9,17.7614
10,18.4972
11,21.1415
12,24.0997
13,27.9573
14,28.6173
15,28.6173
16,28.6173
17,28.6173
18,28.6173
19,28.6173
20,31.3251
21,35.9669
22,38.5852
23,38.5852
24,38.5852
25,38.5852
26,38.5852
27,38.5852
28,38.5852
29,42.1704
30,50.0592
31,55.1523
32,57.5901
33,58.1994
34,58.1994
35,57.2347
36,52.8778
37,47.6206
38,45.209
39,49.791
40,52.0257
41,53.9685
42,56.4385
43,58.0868
44,58.8932
45,59.4855
46,62.1222
47,68.6174
48,73.8704
49,77.0785
50,80.2733
51,82.2508
52,82.3151
53,82.3151
54,82.3151
55,82.3151
56,82.3151
57,82.3151
58,82.3151
59,82.3151
60,82.3151
61,82.5295
62,82.6366
63,82.6366
64,81.7524
65,79.4551
66,76.1752
67,74.6658
68,74.5981
69,73.5852
70,73.3119
71,73.3119
72,73.3119
73,73.3119
74,73.3119
75,73.3119
76,73.3119
77,73.3119
78,73.3119
79,73.3119
80,73.3119
81,73.3119
82,73.3119
83,73.3119
84,73.3119
85,73.3119
86,73.3119
87,73.3119
88,73.3119
89,73.3119
90,72.9743
91,71.3826
92,70.2343
93,67.1865
94,66.881
95,66.881
96,66.881
97,66.045
98,63.1994
99,62.0579
100,61.9056
101,59.608
102,55.8521
103,53.7437
104,53.3762
105,53.2154
106,52.09
107,52.09
108,52.09
109,52.09
110,52.09
111,52.09
112,52.09
113,52.09
114,52.09
115,52.09
116,52.09
117,52.09
118,52.09
119,52.09
120,54.1877
121,58.9228
122,61.6399
123,61.7363
124,61.7363
125,61.7363
126,61.7363
127,61.7363
128,61.7363
129,61.7363
130,62.6206
131,63.5471
132,68.9175
133,73.328
134,74.6141
135,75.8843
136,75.7074
137,75.5627
138,75.5627
139,75.5627
140,75.5627
141,72.6206
142,71.3344
143,71.0611
144,70.8682
145,70.1447
146,72.926
147,75.1904
148,77.247
149,79.4855
150,80.5949
151,82.1061
152,83.1994
153,83.2797
154,83.2797
155,82.2998
156,78.812
157,77.492
158,77.492
159,77.492
160,77.492
161,77.492
162,75.836
163,67.6045
164,64.8875
165,64.3408
166,64.3087
167,63.9565
168,63.6656
169,63.6656
170,63.4887
171,63.3102
172,62.7775
173,62.701
174,62.6527
175,62.3794
176,62.3794
177,62.3794
178,62.3794
179,62.3794
180,62.3794
181,62.3794
182,60.836
183,59.164
184,57.1888
185,55.627
186,55.627
187,55.627
188,55.5466
189,54.6142
190,50.7531
191,47.6191
192,46.6238
193,46.6238
194,46.5113
195,45.9486
196,45.6592
197,45.6592
198,45.6592
199,45.6592
200,45.5306
201,48.4084
202,50.4502
203,51.8489
204,53.9008
205,59.3783
206,64.7825
207,70.2496
208,71.3826
209,71.3826
210,71.3826
211,71.3826
212,71.3826
213,71.3826
214,69.9433
215,62.2508
216,62.1222
217,64.9518
218,64.9518
219,64.4618
220,61.656
221,61.0932
222,61.0932
223,61.0932
224,61.0932
225,61.0763
226,60.1286
227,60.1286
228,60.1286
229,59.6785
230,59.4855
231,59.4855
232,59.4178
233,59.3783
234,61.5595
235,62.0579
236,62.1222
237,62.3794
238,62.3794
239,62.3794
240,62.3794
241,62.3794
242,62.3794
243,62.3794
244,62.3794
245,62.3794
246,61.7685
247,59.9839
248,56.5595
249,55.1286
250,56.2701
251,59.4373
252,62.5402
253,63.9871
254,63.9871
255,65.1286
256,65.9164
257,65.9164
258,65.9164
259,65.9164
260,65.9164
261,65.9164
262,65.9164
263,65.9164
264,65.9164
265,65.9164
266,65.9164
267,65.9164
268,65.9164
269,65.9164
270,65.9164
271,65.9164
272,65.9164
273,65.9164
274,65.7556
275,63.4566
276,59.5498
277,54.8147
278,52.5953
279,50.3698
280,48.2637
281,46.9453
282,46.254
283,45.0161
284,45.0161
285,45.0161
286,45.0161
287,45.0161
288,45.0161
289,45.0161
290,45.0161
291,45.0161
292,45.0161
293,44.0354
294,43.746
295,47.91
296,54.5177
297,62.5563
298,65.4019
299,66.2058
300,67.2026
301,67.2026
302,67.2026
303,67.2026
304,67.2026
305,67.2026
306,67.2026
307,67.2026
308,67.2026
309,67.2026
310,67.2026
311,67.2026
312,67.2026
313,67.2026
314,67.2026
315,66.9882
316,65.2733
317,64.2604
318,62.3312
319,61.8006
320,59.8553
321,58.1994
322,58.1994
323,58.1994
324,58.1994
325,58.1994
326,58.1994
327,58.1994
328,58.7299
329,62.2347
330,63.0225
331,63.0225
332,64.4694
333,69.5177
334,70.0965
335,70.0965
336,70.0965
337,70.0965
338,71.6365
339,76.6192
340,78.7138
341,78.7781
342,79.7106
343,80.3012
344,81.0289
345,81.0289
346,81.0289
347,81.0289
348,81.0289
349,79.8714
350,77.1704
351,75.4708
352,72.3634
353,72.3473
354,72.3473
355,72.3473
356,72.1061
357,71.0129
358,63.9067
359,53.3424
360,46.4707
361,36.4791
362,29.4128
363,26.4278
364,20.6109
365,15.5145
366,14.2765
367,18.4084
368,17.4598
369,10.1202
370,1.179
371,-4.1293
372,-8.1305
373,-15.7717
374,-19.5016
375,-23.4727
376,-28.1029
377,-31.2701
378,-33.0005
379,-36.6406
380,-40.5145
381,-42.3151
382,-46.8328
383,-50.9054
384,-53.1925
385,-56.865
386,-59.0675
387,-59.4051
388,-58.1029
389,-53.4727
390,-47.5884
391,-45.3376
392,-44.6624
393,-43.3441
394,-43.4888
395,-44.6624
396,-44.9678
397,-45.6423
398,-44.2658
399,-39.2926
400,-38.2637
401,-37.074
402,-30.0559
403,-26.7494
404,-23.3601
405,-21.4148
406,-16.6881
407,-11.865
408,-7.6849
