Time of Rating,19-Apr-2016 14:18:54
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-0.6431
2,-0.6431
3,0.80385
4,5.5466
5,12.1727
6,11.7109
7,6.7016
8,2.4039
9,-2.1831
10,-7.3343
11,-13.0225
12,-16.991
13,-19.9357
14,-22.283
15,-23.6656
16,-26.0112
17,-28.6939
18,-30.9325
19,-34.4212
20,-36.4791
21,-37.4683
22,-36.6866
23,-27.283
24,-20.6431
25,-16.1415
26,-14.3087
27,-11.672
28,-10.6448
29,-12.678
30,-15.5949
31,-20.9164
32,-25.2251
33,-27.8558
34,-32.7821
35,-35.8775
36,-38.6005
37,-42.9904
38,-46.4207
39,-49.4564
40,-52.0901
41,-52.0901
42,-52.0901
43,-52.0901
44,-52.0901
45,-52.0901
46,-52.0901
47,-52.0901
48,-52.0901
49,-52.0901
50,-52.0901
51,-55.3055
52,-58.9609
53,-63.1297
54,-65.6118
55,-66.5748
56,-68.658
57,-69.3921
58,-69.4534
59,-69.4026
60,-67.5854
61,-61.045
62,-55.7074
63,-52.107
64,-51.0523
65,-49.2808
66,-48.1807
67,-46.8229
68,-46.6238
69,-46.4554
70,-46.3022
71,-46.3022
72,-46.3022
73,-46.3022
74,-45.4984
75,-42.3794
76,-40.3614
77,-40.1929
78,-40.1929
79,-40.1929
80,-40.1929
81,-40.1929
82,-40.1929
83,-40.1929
84,-40.1929
85,-40.1929
86,-40.1929
87,-40.1929
88,-40.1929
89,-42.0579
90,-46.6559
91,-48.8103
92,-50.6008
93,-52.4116
94,-53.9711
95,-47.8939
96,-39.4373
97,-34.3375
98,-31.8481
99,-28.3974
100,-27.9743
101,-26.1254
102,-26.6399
103,-29.9035
104,-31.1897
105,-31.1897
106,-31.5282
107,-31.9553
108,-32.7331
109,-33.7621
110,-33.7621
111,-33.7621
112,-33.7621
113,-33.7959
114,-34.0836
115,-33.0174
116,-30.9141
117,-29.5659
118,-28.2958
119,-28.2958
120,-28.2958
121,-28.2958
122,-28.2958
123,-28.7552
124,-30.9325
125,-31.9344
126,-33.0884
127,-33.559
128,-33.7621
129,-34.0515
130,-34.4052
131,-34.6945
132,-35.0482
133,-37.701
134,-39.6175
135,-41.2341
136,-44.2605
137,-46.8971
138,-48.8907
139,-49.8223
140,-50.2373
141,-52.3794
142,-54.9679
143,-55.627
144,-55.6778
145,-56.5916
146,-56.5916
147,-56.5916
148,-52.3473
149,-44.8392
150,-37.701
151,-33.6605
152,-28.9236
153,-23.1511
154,-21.5434
155,-20.6913
156,-16.5518
157,-13.9956
158,-13.7756
159,-12.5555
160,-12.5402
161,-11.672
162,-11.5756
163,-12.678
164,-13.6335
165,-17.448
166,-19.2773
167,-19.3408
168,-21.2862
169,-19.5295
170,-11.6215
171,-3.1672
172,4.4508
173,10.1975
174,18.8526
175,24.1464
176,29.1479
177,31.2405
178,31.5113
179,30.2251
180,28.7621
181,27.3481
182,23.5645
183,17.4598
