Time of Rating,15-Apr-2016 10:34:19
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-0.6431
2,-0.6431
3,-0.6431
4,-0.6431
5,1.5158
6,8.8678
7,10.9325
8,10.9325
9,10.9325
10,11.3765
11,11.8971
12,20.1447
13,22.1865
14,21.3023
15,19.9357
16,19.9357
17,19.9357
18,19.9357
19,18.6648
20,21.4926
21,21.865
22,21.865
23,21.865
24,21.9614
25,22.8296
26,22.8296
27,22.8296
28,22.6265
29,21.5434
30,22.1696
31,22.1865
32,22.1865
33,22.1865
34,22.8465
35,23.1205
36,19.9865
37,16.3505
38,17.0418
39,17.6849
40,17.6849
41,17.6849
42,17.6849
43,17.6849
44,17.6849
45,17.6849
46,17.6849
47,17.6849
48,17.6849
49,17.6849
50,18.8018
51,19.6141
52,19.4111
53,18.988
54,18.6495
55,18.6495
56,18.8907
57,18.1672
58,18.0064
59,18.0064
60,18.0064
61,18.0064
62,11.7524
63,7.1416
64,1.9752
65,0
66,-1.0718
67,-1.2862
68,0.64309
69,2.5724
70,2.5402
71,1.9292
72,2.0257
73,3.6288
74,3.8585
75,3.8585
76,4.9035
77,5.7878
78,5.7878
79,5.7878
80,5.9646
81,11.914
82,14.9901
83,15.1125
84,15.1125
85,14.8071
86,11.4063
87,10.2894
88,11.943
89,15.7556
90,15.7556
91,15.7556
92,14.2604
93,8.0386
94,8.0386
95,8.0386
96,8.0386
97,8.0386
98,8.0386
99,8.0386
100,13.2154
101,18.537
102,19.6141
103,19.6141
104,19.6141
105,19.6141
106,19.6141
107,19.6141
108,15.451
109,7.1505
110,7.4632
111,9.9066
112,9.9678
113,9.9678
114,10.0804
115,12.1679
116,9.9985
117,9.9678
118,9.9678
119,9.2444
120,8.6817
121,8.6817
122,8.6817
123,8.6817
124,8.6817
125,8.6817
126,2.2355
127,-2.7754
128,-2.5724
129,-1.5739
130,-0.6431
131,-0.6431
132,1.3505
133,6.1093
134,6.1093
135,6.1093
136,6.1093
137,6.3023
138,11.5756
139,11.5756
140,11.5756
141,11.5756
142,11.5756
143,11.5756
144,11.8971
145,11.8971
146,11.8971
147,8.2376
148,-3.8247
149,-12.7852
150,-13.7621
151,-12.7492
152,-12.1679
153,-10.5344
154,-9.7106
155,-7.937
156,-5.2059
157,-4.9247
158,-4.5016
159,-5.0222
160,-3.757
161,-1.2862
162,-3.4887
163,-4.5016
164,-4.5016
165,-7.4116
166,-14.4855
167,-15.7556
168,-15.7556
169,-15.7556
170,-15.7556
171,-15.7556
172,-15.7556
173,-17.5777
174,-17.4277
175,-13.8264
176,-13.8264
177,-10.1125
178,-3.537
179,-3.537
180,-3.537
181,-3.537
182,-3.537
183,1.5618
184,13.8094
185,19.2926
186,16.5434
