Time of Rating,20-Apr-2016 17:59:18
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-1.9446
3,-7.492
4,-13.2476
5,-20.3376
6,-24.8942
7,-29.2758
8,-32.7331
9,-34.2605
10,-33.0174
11,-30.8199
12,-29.2604
13,-28.4312
14,-28.2958
15,-28.2958
16,-28.4084
17,-31.3082
18,-35.6607
19,-41.5756
20,-45.2361
21,-45.4295
22,-35.6406
23,-26.1063
24,-18.6495
25,-11.3048
26,-4.7007
27,-0.91386
28,0.42871
29,-2.0308
30,-5.0375
31,-10.5949
32,-17.6341
33,-22.0181
34,-25.385
35,-21.1759
36,-15.2987
37,-13.5048
38,-13.122
39,-10.9833
40,-10.9325
41,-10.4925
42,-6.6299
43,-2.8939
44,0.67524
45,4.3891
46,4.5185
47,4.8231
48,3.7739
49,0.27561
50,-0.96462
51,-3.2324
52,-9.0951
53,-14.9839
54,-19.6463
55,-23.2476
56,-20.4823
57,-12.0156
58,-5.2572
59,0.22967
60,1.6585
61,5.1753
62,8.7781
63,11.881
64,11.8489
65,11.5756
66,11.5756
67,11.5756
68,11.9124
69,11.6263
70,5.7074
71,-0.78089
72,-6.5663
73,-14.301
74,-19.7106
75,-14.6142
76,-8.3432
77,-7.0739
78,-11.1254
79,-15.011
80,-7.074
81,1.3877
82,8.6817
83,15
84,20.1895
85,27.5456
86,36.5544
87,43.5002
88,44.0514
89,43.4237
90,39.2765
91,38.0606
92,38.9067
93,39.1606
94,40.0704
95,40.8521
96,45.4019
97,48.4566
98,49.7038
99,49.9464
100,44.4407
101,38.2943
102,33.6013
103,27.8778
104,25.5949
105,28.8374
106,38.2177
107,47.0807
108,53.6365
109,55.4984
110,51.9885
111,47.6037
112,43.8314
113,39.167
114,36.0467
115,32.8587
116,37.3498
117,43.328
118,46.4707
119,47.3853
120,47.91
121,47.91
122,48.9068
123,49.6785
124,46.1161
125,41.5557
126,36.9775
127,31.6491
128,27.1789
129,20.4103
130,15.1768
131,9.4263
132,2.6489
133,-3.6817
134,-9.9679
135,-9.1048
136,-3.047
137,3.135
138,6.0416
139,5.8184
140,3.6047
141,6.8137
142,16.2464
143,22.8778
144,27.3924
145,33.4236
146,37.7431
147,38.9389
148,41.3023
149,41.4791
150,41.4791
151,41.4791
152,41.3437
153,40.4532
154,37.8778
155,37.299
156,37.299
157,37.299
158,37.299
159,37.299
160,41.1269
161,49.1801
162,54.0354
163,55.4341
164,52.2931
165,48.4918
166,42.2406
167,38.034
168,33.8264
169,31.7042
170,30.3055
171,28.5497
172,27.9743
173,27.6696
174,27.913
175,26.6712
176,28.7858
177,33.7138
178,35.1608
179,36.5113
180,36.9775
181,36.9775
182,34.2698
183,27.8617
184,21.1147
185,16.2972
186,10.0597
187,5.1616
188,5.9103
189,13.6495
190,17.2957
191,19.6754
192,22.4065
193,28.1733
194,34.5405
195,39.5651
196,40.1929
197,41.3606
198,41.8007
199,39.7191
200,37.3909
201,36.5713
202,36.1897
203,36.0128
204,36.8929
205,40.3154
206,43.273
207,51.8297
208,57.4276
209,59.7588
210,59.5177
211,57.4209
212,53.1618
213,46.4715
214,41.8466
215,41.8007
216,41.8007
217,41.8007
218,41.6314
219,41.4791
220,41.4791
221,41.4791
222,41.4791
223,41.3666
224,39.3202
225,37.0283
226,34.053
227,30.1608
228,24.1479
229,20.4502
230,22.4234
231,25.111
232,25.4019
233,26.3359
234,28.245
235,30.209
236,30.6997
237,30.8682
238,31.3122
239,32.1865
240,33.553
241,33.762
242,34.4051
243,36.8006
244,37.4513
245,36.166
246,35.3529
247,37.1919
248,38.2637
249,38.2154
250,36.8091
251,36.6559
252,36.6559
253,37.6714
254,40.1623
255,44.2765
256,45.9807
257,47.283
258,48.2315
259,48.2315
260,48.2315
261,48.2315
262,47.299
263,44.7115
264,39.5651
265,35.1328
266,35.3545
267,40.5788
268,44.8231
269,46.9453
270,47.3955
271,47.91
272,47.91
273,47.91
274,47.91
275,47.91
276,46.7042
277,46.3192
278,49.3952
279,47.9421
280,44.4534
281,39.6514
282,39.7267
283,51.4776
284,56.0501
285,60.1899
286,61.045
287,57.2669
288,51.045
289,48.553
290,50.9968
291,54.3578
292,57.1582
293,59.1301
294,60.098
295,59.9196
296,58.4194
297,57.2347
298,58.0707
299,64.7267
300,70.0965
301,74.1387
302,74.3891
303,71.5519
304,67.1566
305,64.2241
306,58.1075
307,52.6993
308,51.0182
309,52.6527
310,50.3977
311,46.8075
312,50.836
313,66.463
314,75.0322
315,80.7074
316,81.1093
317,78.5243
318,76.8336
319,72.6857
320,72.3473
321,72.3473
322,72.1222
323,69.6463
324,65.0054
