Time of Rating,20-Apr-2016 17:53:17
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,1.2402
3,2.3633
4,6.1736
5,9.1318
6,12.1848
7,11.1162
8,9.6463
9,9.6463
10,9.6463
11,8.8001
12,7.7324
13,8.4955
14,11.2234
15,15.4984
16,18.0064
17,18.8103
18,19.5972
19,21.329
20,22.068
21,22.508
22,23.0868
23,24.1318
24,31.2379
25,34.3891
26,35.2572
27,35.1286
28,33.4727
29,33.4405
30,33.4405
31,33.4405
32,35.0144
33,36.9928
34,37.6206
35,42.4437
36,47.6206
37,51.3666
38,53.7138
39,58.8103
40,62.3794
41,62.5487
42,67.0495
43,69.3569
44,71.5349
45,73.4956
46,78.4084
47,82.8135
48,83.5209
49,83.6013
50,83.8264
51,83.9228
52,83.9228
53,83.9228
54,83.9688
55,84.8875
56,86.1736
57,86.4952
58,86.4952
59,86.4952
60,86.4952
61,86.4952
62,86.4952
63,86.4952
64,86.463
65,85.8859
66,85.8521
67,85.8521
68,85.8521
69,85.8521
70,85.3275
71,84.1984
72,83.1105
73,82.9582
74,82.9582
75,81.9775
76,79.0997
77,78.4566
78,81.1736
79,83.7536
80,84.5659
81,84.5659
82,84.9035
83,85.209
84,84.6844
85,82.0242
86,81.7363
87,81.9293
88,82.6536
89,86.463
90,89.5116
91,93.5531
92,95.5305
93,96.4469
94,96.8649
95,97.1061
96,97.1061
97,97.1061
98,97.1061
99,97.1061
100,97.1061
101,97.1061
102,97.1061
103,97.1061
104,97.1061
105,96.3505
106,94.2122
107,89.7952
108,83.7391
109,79.9678
110,76.0932
111,74.4051
112,75.4273
113,69.7443
114,62.1222
115,56.3826
116,50.418
117,45.6084
118,41.5097
119,36.5206
120,29.3676
121,29.1318
122,33.9871
123,34.8553
124,28.5497
125,24.5904
126,19.9695
127,11.6779
128,6.5155
129,4.5354
130,10.32
131,18.1249
132,24.3914
133,26.4148
134,32.0579
135,37.3633
136,42.2914
137,44.6945
138,44.6945
139,44.3883
140,42.7974
141,34.2444
142,28.6174
143,23.185
144,17.8074
145,10.9968
146,4.6945
147,-2.4877
148,-8.1151
149,-11.865
150,-11.711
151,-7.273
152,-0.32155
153,4.1801
154,9.5278
155,12.9494
156,18.311
157,21.8971
158,24.5016
159,26.5358
160,33.6089
161,42.5402
162,47.1992
163,52.5647
164,57.2669
165,58.4405
166,58.8425
167,60.5114
168,62.1222
169,59.7749
170,55.7556
171,50.8377
172,44.128
173,36.5713
174,27.7697
175,17.008
176,10.2048
177,3.7667
178,-6.6847
179,-12.7699
180,-16.7363
181,-21.6881
182,-21.2379
183,-18.4803
184,-16.0925
185,-16.0772
186,-17.5012
187,-19.582
188,-15.4662
189,-10.0322
190,-4.5693
191,-0.44403
192,3.5531
193,9.7106
194,14.8418
195,20.7395
196,27.0556
197,32.9666
198,31.9553
199,25.6592
200,17.074
201,10.0482
202,8.9067
203,8.5852
204,11.4148
205,12.2186
206,12.574
207,13.5048
208,14.0514
209,21.0865
210,27.8058
211,33.6174
212,35.5949
213,38.6334
214,42.8939
215,45.3376
216,45.9807
217,46.8688
218,47.3007
219,48.6602
220,49.5016
221,49.8392
222,50.2894
223,55.2208
224,58.7659
225,59.5338
226,59.8071
227,59.8071
228,59.8071
229,59.4212
230,57.9117
231,57.8778
232,58.8424
233,61.7516
234,64.9518
235,65.9164
236,66.1767
237,66.2379
238,66.2379
239,66.0289
240,63.7299
241,62.8778
242,61.6348
243,59.654
244,57.2516
245,54.2183
246,49.5659
247,40.5627
248,33.9228
249,28.9897
250,26.4737
251,26.3666
252,29.2444
253,32.5266
254,28.1672
255,19.9816
256,13.7417
257,9.0798
258,4.9035
259,3.9711
260,8.119
261,11.8125
262,17.0571
263,22.1696
264,27.8824
265,30.5974
266,31.1897
267,31.4791
268,31.5113
269,31.5113
270,31.5916
271,32.0739
272,31.1728
273,29.5381
274,28.2281
275,27.9743
276,27.9743
277,27.4666
278,22.0946
279,16.4309
280,11.9614
281,6.3666
282,-2.1323
283,-8.5745
284,-11.5756
285,-16.3069
286,-20.0643
287,-22.5724
288,-26.4309
289,-30.1912
290,-36.4875
291,-44.7428
292,-50.0322
293,-53.2798
294,-57.5884
295,-61.6238
296,-64.461
297,-69.0247
298,-73.4727
299,-76.3826
300,-77.6612
301,-72.4759
302,-66.5136
303,-63.2425
304,-62.3029
305,-61.1415
306,-60.7717
307,-59.2926
308,-55.2547
309,-51.0948
310,-44.8299
311,-36.9928
312,-30.8851
313,-29.8882
314,-40.627
315,-49.1623
316,-57.786
317,-66.656
318,-71.656
319,-73.9042
320,-75.3637
321,-79.8392
322,-85.7675
323,-90.0781
324,-90.443
