Time of Rating,26-Apr-2016 09:55:49
Multimedia File,all_vocal_1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,4.5659
4,28.8543
5,37.3297
6,38.5852
7,48.6656
8,52.3473
9,48.8746
10,47.4116
11,47.2669
12,47.2669
13,46.4309
14,47.2669
15,45.8123
16,47.3346
17,48.3234
18,54.0193
19,48.7299
20,45.3376
21,45.3376
22,45.6431
23,49.4534
24,50.1286
25,51.1592
26,52.4116
27,52.4116
28,52.4116
29,53.7437
30,55.9807
31,56.9132
32,57.0257
33,58.0225
34,59.164
35,59.1132
36,58.1534
37,57.8778
38,57.3419
39,57.8296
40,58.1994
41,57.7331
42,57.3955
43,56.8167
44,55.9316
45,54.1265
46,57.6849
47,58.0386
48,56.7524
49,56.5916
50,54.7542
51,50.6515
52,46.4094
53,43.2154
54,43.0868
55,40.9968
56,38.119
57,37.6206
58,37.6206
59,37.508
60,36.9775
61,36.9775
62,36.9775
63,37.9929
64,40.0245
65,44.1318
66,48.0707
67,57.299
68,59.7902
69,59.1946
70,59.164
71,59.8553
72,55.8039
73,54.2765
74,53.6978
75,53.3762
76,47.7814
77,47.5884
78,47.5884
79,47.4437
80,46.4094
81,46.8607
82,47.0976
83,42.6734
84,41.716
85,51.156
86,54.164
87,57.3473
88,57.5724
89,57.8778
90,58.9228
91,60.4502
92,60.0674
93,61.9293
94,61.7203
95,60.4502
96,60.1963
97,58.8731
98,55.7074
99,58.1351
100,52.3955
101,49.1961
102,49.1961
103,49.1961
104,49.1961
105,49.4695
106,51.0129
107,47.91
108,47.1653
109,52.2278
110,57.387
111,58.8425
112,58.8746
113,60.3858
114,61.254
115,61.4148
116,61.4148
117,61.4148
118,60.1286
119,57.9455
120,57.4437
121,57.0816
122,58.7578
123,60.2817
124,61.0932
125,62.3151
126,65.4984
127,66.5595
128,66.3022
129,64.8071
130,66.865
131,70.418
132,70.7396
133,70.5305
134,70.1303
135,69.6218
136,69.7106
137,71.3022
138,72.0257
139,72.4391
140,72.5723
141,71.8057
142,71.7042
143,71.7042
144,71.7042
145,71.7042
146,72.4437
147,71.6399
148,66.6399
149,65.2733
150,65.2733
151,65.2733
152,65.2733
153,64.4948
154,64.3087
155,63.6825
156,63.6656
157,63.8856
158,65.9164
159,65.8842
160,65.2733
161,65.2733
162,65.2733
