Time of Rating,13-May-2016 16:37:05
Multimedia File,end_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-2.3166
2,-2.3166
3,-1.3973
4,6.2386
5,8.1081
6,8.1081
7,8.1081
8,8.5135
9,9.5509
10,10.6086
11,10.9327
12,12.392
13,13.9575
14,15.4247
15,16.7375
16,17.9029
17,18.1467
18,18.6141
19,18.9189
20,18.9189
21,18.9189
22,19.2857
23,20.0772
24,19.2866
25,18.9189
26,18.9189
27,19.0815
28,20.1737
29,22.3387
30,25.0772
31,26.6409
32,26.2741
33,26.2548
34,26.2548
35,26.2548
36,26.5306
37,26.6409
38,26.6409
39,26.6409
40,26.7329
41,27.027
42,27.027
43,27.027
44,27.027
45,27.027
46,27.027
47,27.027
48,25.3861
49,22.7596
50,23.0925
51,25.2997
52,26.7145
53,27.027
54,26.4479
55,24.0927
56,23.166
57,24.5633
58,25.8078
59,27.2109
60,27.7992
61,27.7992
62,27.7992
63,26.8848
64,26.4203
65,27.3115
66,27.4131
67,27.027
68,24.2634
69,21.162
70,19.7318
71,19.9669
72,21.1004
73,22.0077
74,22.0077
75,22.0077
76,21.8974
77,20.6259
78,18.4409
79,18.0309
80,19.4402
81,21.39
82,21.6216
83,20.2243
84,17.7992
85,16.3321
86,16.2162
87,16.7568
88,19.0476
89,21.3707
90,20.4054
91,17.6834
92,19.2857
93,19.6911
94,19.112
95,17.0656
96,16.2162
97,17.7055
98,20.1382
99,20.3346
100,19.0734
101,18.5328
102,18.6799
103,18.9189
104,19.4788
105,19.6911
106,18.6431
107,17.2973
108,16.9884
109,17.8158
110,18.5328
111,18.7902
112,19.6525
113,18.6487
114,17.3745
115,18.167
116,19.2315
117,20.382
118,20.9781
119,21.6216
120,21.6216
121,21.39
122,20.5853
123,19.5624
124,18.6873
125,17.278
126,16.4865
127,15.5659
128,15.7566
129,11.4204
130,9.4686
131,13.8803
132,15.8301
133,16.2162
134,16.6226
135,18.7718
136,16.3127
137,12.915
138,11.583
139,11.1969
140,12.7799
141,17.0087
142,18.1467
143,18.1264
144,16.9333
145,14.9766
146,14.6718
147,16.8919
148,18.5328
149,18.1099
150,17.1815
151,18.5328
152,18.736
153,18.9189
154,17.6448
155,20.7478
156,22.3938
157,22.3938
158,22.3938
159,22.3938
160,21.8045
161,20.0772
162,20.443
163,20.4633
164,20.4633
165,20.4633
166,20.4633
167,20.4633
168,20.2317
169,18.9189
170,19.3786
171,19.5286
172,19.305
173,19.2857
174,15.0579
175,5.1112
176,-0.34749
177,-1.3127
178,-0.15444
179,2.7799
180,2.9151
181,1.8086
182,-6.8947
183,-13.9403
184,-17.1723
185,-17.3745
186,-17.3745
187,-17.3745
188,-17.5777
189,-20.2795
190,-21.6216
191,-21.6216
192,-21.6216
193,-21.6216
194,-21.6216
195,-21.6216
196,-21.6216
197,-21.6216
198,-19.9807
199,-18.5328
200,-19.2683
201,-19.6911
202,-19.4676
203,-19.305
204,-19.305
205,-19.305
206,-19.4981
207,-19.7521
208,-20.0772
209,-22.5676
210,-21.6216
211,-21.6216
212,-22.7432
213,-23.9382
214,-23.9382
215,-23.9382
216,-23.9382
217,-23.9382
218,-23.9382
219,-23.9382
220,-23.9382
221,-23.9382
222,-23.9382
223,-23.9382
224,-23.9382
225,-23.9382
226,-23.9382
227,-22.6448
228,-18.5938
229,-20.353
230,-21.2355
231,-20.5185
232,-20.4633
233,-20.4633
234,-20.4633
235,-20.4633
236,-20.4633
237,-20.4633
238,-20.4633
239,-20.4633
240,-20.4633
