Time of Rating,06-May-2016 10:51:47
Multimedia File,mid_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-0.91386
3,-12.6627
4,-20.2572
5,-20.2572
6,-19.9051
7,-19.2926
8,-19.2926
9,-19.2926
10,-19.2926
11,-19.2926
12,-24.3087
13,-24.1157
14,-24.1157
15,-24.1157
16,-22.728
17,-19.3232
18,-1.7685
19,8.7942
20,10.9325
21,13.4084
22,16.0611
23,11.9132
24,0.32154
25,-17.3972
26,-32.7814
27,-35.0329
28,-35.0483
29,-35.0483
30,-35.0483
31,-35.0483
32,-35.0483
33,-35.0483
34,-35.0483
35,-35.0483
36,-34.987
37,-34.0836
38,-34.0836
39,-34.0836
40,-34.0836
41,-34.0989
42,-34.4052
43,-34.4052
44,-34.4052
45,-34.4052
46,-34.4052
47,-34.4052
48,-34.4052
49,-34.2359
50,-34.0836
51,-34.0836
52,-33.8386
53,-31.672
54,-30.6143
55,-28.9389
56,-28.9389
57,-22.5999
58,-14.9357
59,-14.4695
60,-14.4695
61,-14.4695
62,-19.5988
63,-28.7697
64,-30.2251
65,-29.7267
66,-29.8189
67,-35.9363
68,-40.3114
69,-41.8007
70,-45.4984
71,-49.8392
72,-49.8392
73,-49.8392
74,-49.8392
75,-50.1608
76,-49.1196
77,-48.5048
78,-46.1415
79,-45.3376
80,-45.3376
81,-45.8582
82,-45.9807
83,-45.9807
84,-45.9807
85,-45.9807
86,-45.9807
87,-46.4207
88,-48.1856
89,-44.9839
90,-43.3119
91,-45.4561
92,-45.6592
93,-45.6592
94,-44.4238
95,-44.0515
96,-44.0515
97,-44.0515
98,-43.2391
99,-41.6238
100,-40.3001
101,-35.9452
102,-33.2568
103,-32.1544
104,-31.1438
105,-25.836
106,-25.7235
107,-23.537
108,-14.6048
109,-12.8618
110,-12.8618
111,-12.8618
112,-12.8618
113,-12.8618
114,-12.8618
115,-12.8618
116,-12.8618
117,-21.1254
118,-30.9968
119,-31.6399
120,-32.4759
121,-33.1037
122,-34.4052
123,-34.4052
124,-33.9711
125,-31.8328
126,-31.8328
127,-31.8328
128,-31.8328
129,-31.8328
130,-32.0579
131,-28.8374
132,-28.6174
133,-29.1839
134,-30.2251
135,-30.2251
136,-29.7589
137,-29.6463
138,-31.9775
139,-32.1544
140,-32.1544
141,-32.1544
142,-32.0012
143,-30.9003
144,-30.8682
145,-30.8682
146,-30.8682
147,-32.0097
148,-32.1544
149,-32.1544
150,-32.0418
151,-29.1318
152,-28.9389
153,-28.9389
154,-31.3183
155,-38.6495
156,-40.836
157,-40.591
158,-39.9899
159,-39.4052
160,-39.2283
161,-39.2283
162,-39.4695
163,-39.5498
164,-39.5498
165,-39.5498
166,-39.3049
167,-38.9067
168,-38.9067
169,-38.9067
170,-38.9067
171,-39.6264
172,-41.0729
173,-44.572
174,-43.5607
175,-42.1222
176,-42.1222
177,-40.1125
178,-36.8244
179,-36.6559
180,-37.59
181,-42.3473
182,-43.0868
183,-43.0868
184,-42.8939
185,-37.2531
186,-31.4774
187,-23.932
188,-18.8357
189,-18.6495
190,-18.6495
191,-18.119
192,-14.7749
193,-13.5048
194,-10.4079
195,-6.4309
196,-6.6077
197,-10.8648
198,-12.4483
199,-9.714
200,-5.7878
201,-5.7878
202,-5.7878
203,-0.86816
204,14.2664
205,12.0043
206,8.0386
207,7.5946
208,6.5434
209,3.4405
210,-3.3339
211,-4.5016
212,-5.3478
213,-7.5946
214,-6.9293
215,-13.5048
216,-11.3344
217,-7.926
218,-9.1801
219,-15.2894
220,-16.7541
221,-20.0482
222,-21.7272
223,-20.088
224,-20.1348
225,-22.0579
226,-22.5081
227,-22.0511
228,-20.7319
229,-19.3087
230,-18.9711
231,-19.0476
232,-19.6141
233,-19.6141
234,-19.6141
235,-20.0034
236,-20.5941
237,-22.299
238,-24.6463
239,-25.9773
240,-26.045
