Time of Rating,06-May-2016 10:37:31
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,-2.3633
4,-8.3119
5,-9.2765
6,-9.3247
7,-9.3247
8,-9.3247
9,-9.3247
10,-9.3247
11,-9.3247
12,-12.1544
13,-13.031
14,-12.5861
15,-13.5048
16,-13.5048
17,-13.5048
18,-13.5048
19,-13.5048
20,-13.5048
21,-13.5048
22,-13.5048
23,-13.5048
24,-13.5048
25,-13.5048
26,-13.5048
27,-13.2002
28,-13.367
29,-14.4695
30,-14.4695
31,-14.4695
32,-14.4695
33,-14.4695
34,-14.4695
35,-14.0254
36,-13.8264
37,-13.8264
38,-13.9068
39,-15.1125
40,-15.1125
41,-15.1125
42,-15.1125
43,-15.1125
44,-15.1125
45,-15.1125
46,-15.1125
47,-15.9088
48,-17.4141
49,-15.5719
50,-15.4341
51,-15.4341
52,-15.4341
53,-15.4341
54,-15.4341
55,-15.4341
56,-14.8875
57,-15.1125
58,-15.1125
59,-15.1125
60,-15.1125
61,-15.1125
62,-15.1125
63,-15.1125
64,-15.1125
65,-14.3317
66,-14.8418
67,-17.8372
68,-20.2113
69,-20.2572
70,-20.2572
71,-20.2572
72,-20.2572
73,-20.2572
74,-20.2572
75,-20.2572
76,-20.2572
77,-20.2572
78,-20.2572
79,-20.2572
80,-19.9357
81,-19.6311
82,-19.9357
83,-22.3151
84,-22.5081
85,-21.7524
86,-19.4212
87,-14.2156
88,-13.8264
89,-13.8264
90,-14.2495
91,-14.4695
92,-14.8587
93,-15.4341
94,-15.4341
95,-17.0579
96,-17.3633
97,-17.3633
98,-17.3633
99,-18.2637
100,-18.6495
101,-18.3618
102,-14.5613
103,-10.9325
104,-8.4955
105,0.59715
106,10.2412
107,15.6431
108,16.4469
109,18.0064
110,18.0064
111,17.1603
112,16.7662
113,15.7556
114,13.9335
115,13.8264
116,13.8264
117,13.8264
118,13.8264
119,13.8264
120,13.8264
121,12.0961
122,-0.85209
123,-10.6753
124,-17.1544
125,-24.2004
126,-29.2604
127,-29.2604
128,-29.2604
129,-29.2604
130,-29.2604
131,-29.2604
132,-29.2604
133,-30.1179
134,-30.2251
135,-30.2251
136,-30.2251
137,-29.5016
138,-29.2604
139,-29.2604
140,-28.5102
141,-27.09
142,-25.7235
143,-25.7235
144,-25.5204
145,-27.3312
146,-28.6174
147,-28.3441
148,-28.2476
149,-27.6527
150,-27.6527
151,-27.6527
152,-27.6374
153,-22.8778
154,-16.0772
155,-12.3955
156,-11.5756
157,-12.6688
158,-13.5048
159,-13.9711
160,-15.4679
161,-16.5978
162,-17.1061
163,-17.3633
164,-17.3633
165,-17.3633
166,-17.7974
167,-20.4662
168,-20.5788
169,-15.9646
170,-10.6109
171,-7.2118
172,0.64308
173,7.9467
174,9.0836
175,9.3247
176,11.3344
177,15.451
178,16.3987
179,17.3473
180,17.0096
181,15.4984
182,15.1125
183,15.4823
184,16.0772
185,16.1997
186,16.3987
187,15.1738
188,12.283
189,16.5273
190,21.0772
191,25.3858
192,26.3666
193,26.3666
194,26.3666
195,26.3666
196,26.3666
197,26.3666
198,26.3666
199,26.535
200,26.7203
201,25.1929
202,24.9839
203,24.7588
204,24.7588
205,24.7588
206,24.7588
207,26.1063
208,26.6881
209,27.4158
210,28.0815
211,29.582
212,29.2765
213,22.6688
214,17.283
215,13.328
216,13.2848
217,14.1479
218,14.1479
219,14.1479
220,14.1479
221,14.0997
222,11.6881
223,6.6678
224,-0.64309
225,-13.8585
226,-23.6013
227,-25.0804
228,-25.9003
229,-26.3666
230,-26.3666
231,-24.3761
232,-20.9003
233,-20.9003
234,-24.4534
235,-26.3666
236,-26.3666
237,-26.3158
238,-26.045
239,-25.7878
240,-25.4019
