Time of Rating,26-Apr-2016 12:07:50
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-1.1897
3,-7.8135
4,-16.2379
5,-22.2187
6,-25.7912
7,-29.5177
8,-29.9342
9,-20.9807
10,-13.2798
11,-12.5402
12,-12.5402
13,-15.4663
14,-20.5111
15,-27.1781
16,-29.1318
17,-31.7042
18,-33.4405
19,-33.6775
20,-35.9363
21,-40.7006
22,-46.042
23,-53.2476
24,-57.6917
25,-61.0932
26,-61.0932
27,-61.7524
28,-65.4823
29,-67.5241
30,-68.8272
31,-70.0046
32,-70.0965
33,-70.0965
34,-70.0965
35,-70.0965
36,-70.0965
37,-70.0965
38,-70.0965
39,-70.0965
40,-70.0965
41,-70.0965
42,-70.0965
43,-70.0965
44,-70.0965
45,-70.0965
46,-70.0965
47,-70.1608
48,-70.418
49,-70.418
50,-70.418
51,-70.418
52,-70.418
53,-70.418
54,-70.418
55,-70.418
56,-70.418
57,-70.418
58,-70.418
59,-70.418
60,-70.418
61,-70.418
62,-70.418
63,-70.418
64,-70.418
65,-70.418
66,-70.418
67,-70.418
68,-70.418
69,-70.418
70,-73.4473
71,-73.6335
72,-73.6335
73,-73.6335
74,-73.6335
75,-73.6335
76,-73.6335
77,-73.6335
78,-73.6335
79,-73.6335
80,-73.6335
81,-73.6335
82,-73.6335
83,-73.6335
84,-73.6335
85,-73.6335
86,-73.6335
87,-73.6335
88,-73.6335
89,-73.6335
90,-73.6335
91,-73.6335
92,-73.6335
93,-73.6335
94,-73.3601
95,-65.3859
96,-60.9164
97,-57.5563
98,-59.1318
99,-61.881
100,-61.4317
101,-57.4797
102,-55.6431
103,-55.627
104,-55.627
105,-55.627
106,-55.627
107,-55.627
108,-55.627
109,-55.9646
110,-58.4194
111,-60.2664
112,-62.0579
113,-62.0579
114,-62.0579
115,-62.0579
116,-62.0579
117,-62.0579
118,-62.0579
119,-62.0579
120,-62.0579
121,-62.0579
122,-62.0579
123,-62.0579
124,-62.0579
125,-62.0579
126,-62.0579
127,-62.0579
128,-62.0579
129,-62.0579
130,-61.032
131,-57.8778
132,-57.8778
133,-57.8778
134,-60.9164
135,-63.0225
136,-63.0225
137,-63.0225
138,-63.0225
139,-63.0225
140,-63.0225
141,-63.0225
142,-62.5402
143,-62.3794
144,-62.3794
145,-62.3794
146,-62.3794
147,-62.3794
148,-62.3794
149,-62.3794
150,-62.3794
151,-61.7363
152,-61.7363
153,-61.7363
154,-61.7363
155,-61.7363
156,-61.1415
157,-61.0932
158,-61.0932
159,-61.0932
160,-61.0932
161,-61.0932
162,-61.0932
163,-61.0932
164,-61.0932
165,-61.0932
166,-61.1102
167,-63.4025
168,-65.2733
169,-65.9164
170,-66.881
171,-66.881
172,-66.881
173,-66.881
174,-66.881
175,-66.881
176,-66.881
177,-66.881
178,-66.881
179,-66.881
180,-66.881
181,-66.881
182,-66.881
183,-66.881
184,-66.881
185,-66.881
186,-66.881
187,-66.881
188,-65.4425
189,-57.5563
190,-53.3424
191,-52.2432
192,-51.3023
193,-51.1254
194,-50.9003
195,-48.5023
196,-45.7051
197,-44.5761
198,-44.373
199,-44.2122
200,-42.9743
201,-39.5981
202,-38.5852
203,-38.5852
204,-38.5852
205,-39.7868
206,-39.8714
207,-40.0643
208,-40.1929
209,-41.0657
210,-43.7299
211,-43.7299
212,-43.7299
213,-43.7299
214,-43.7299
215,-43.7299
216,-45.6285
217,-49.3992
218,-51.0182
219,-52.2026
220,-53.3762
221,-53.3762
222,-53.3762
223,-53.3762
224,-53.3762
225,-53.3762
226,-53.3762
227,-53.3762
228,-53.3762
229,-53.3762
230,-53.3762
231,-53.3762
232,-53.3762
233,-53.3762
234,-53.3762
235,-53.7743
236,-56.5747
237,-60.3736
238,-62.2347
239,-64.0354
240,-65.7556
