Time of Rating,26-Apr-2016 12:02:39
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0.64309
3,5.7032
4,8.9879
5,14.1479
6,18.328
7,29.1158
8,38.2154
9,44.5659
10,45.3376
11,45.3376
12,48.7299
13,55.418
14,56.9132
15,57.3794
16,58.7942
17,59.5532
18,60.7717
19,60.7717
20,60.7717
21,60.7717
22,60.7717
23,60.7717
24,60.7717
25,60.7717
26,60.7717
27,60.7717
28,60.7717
29,60.7717
30,60.7717
31,60.4823
32,53.8585
33,47.4759
34,41.254
35,33.9711
36,31.8666
37,32.1704
38,36.6713
39,39.7428
40,38.7138
41,37.1298
42,33.1955
43,31.4097
44,31.1897
45,30.9807
46,30
47,28.537
48,25.9604
49,24.7588
50,25.5712
51,31.4347
52,35.3215
53,40.209
54,45.4823
55,49.5016
56,53.6174
57,58.8425
58,58.8425
59,58.8425
60,58.8425
61,58.8425
62,58.6495
63,55.4502
64,51.8604
65,48.6207
66,46.1415
67,43.476
68,41.7241
69,38.135
70,35.2894
71,33.537
72,29.0675
73,27.3312
74,26.8912
75,23.5492
76,22.09
77,21.6559
78,19.2283
79,17.1543
80,15.9325
81,15.7556
82,18.6648
83,28.0868
84,36.3344
85,42.8296
86,47.5038
87,52.1206
88,55.8199
89,59.4534
90,61.7363
91,61.7363
92,61.7363
93,61.7363
94,57.9544
95,45.7556
96,40.0321
97,32.6206
98,30.7074
99,33.8264
100,38.5209
101,43.8264
102,46.2176
103,46.3022
104,46.3022
105,46.3022
106,46.3022
107,46.3022
108,46.5916
109,43.1672
110,41.1897
111,46.1093
112,50.6515
113,54.9839
114,58.8118
115,62.492
116,66.0611
117,69.1961
118,69.4534
119,71.5756
120,73.3119
121,73.3119
122,73.3119
123,73.3119
124,73.3119
125,73.3119
126,73.3119
127,73.3119
128,73.3119
129,73.3119
130,73.3119
131,73.3119
132,73.3119
133,73.3119
134,73.3119
135,73.3119
136,73.3119
137,73.3119
138,73.3119
139,73.3119
140,73.3119
141,73.3119
142,73.3119
143,73.3119
144,73.3119
145,73.3119
146,73.3119
147,73.3119
148,73.3119
149,73.3119
150,73.3119
151,73.3119
152,73.3119
153,73.3119
154,73.3119
155,73.3119
156,73.3119
157,73.3119
158,73.3119
159,73.3119
160,73.3119
161,73.3119
162,73.3119
163,73.3119
164,73.3119
165,73.1765
166,72.3013
167,72.0257
168,70.8039
169,69.4534
170,69.4534
171,69.4534
172,69.4534
173,67.1704
174,64.8071
175,63.5979
176,62.6091
177,59.9255
178,57.7859
179,56.6077
180,51.7203
181,50.4823
182,50.4823
183,50.4823
184,50.4823
185,50.4823
186,50.4823
187,50.4823
188,47.5241
189,42.1222
190,36.3344
191,35.5145
192,38.636
193,45.2611
194,47.283
195,47.5884
196,46.4707
197,44.2122
198,41.5434
199,40.1929
200,40.7135
201,41.6653
202,42.1222
203,43.5048
204,45.4907
205,47.8617
206,49.8231
207,50.3977
208,52.0135
209,52.4116
210,52.4116
211,52.4116
212,52.4116
213,52.4116
214,51.6669
215,43.2246
216,36.5375
217,33.0577
218,31.1897
219,30.0482
220,27.2026
221,24.1157
222,24.1464
223,28.3762
224,29.582
225,29.582
226,27.8558
227,24.5445
228,21.1034
229,20.9769
230,23.6977
231,33.9068
232,43.0547
233,49.01
234,52.9322
235,54.6624
236,54.6624
237,54.6624
238,54.9839
239,55.9486
240,55.9486
