Time of Rating,26-Apr-2016 14:12:32
Multimedia File,module2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-2.3151
3,-3.7231
4,-8.5898
5,-12.5233
6,-20.6553
7,-24.7419
8,-27.8778
9,-32.5678
10,-40.3283
11,-44.2046
12,-49.3654
13,-50.8039
14,-50.8039
15,-50.8039
16,-50.8039
17,-50.8039
18,-51.3857
19,-52.0224
20,-53.8509
21,-56.1415
22,-62.481
23,-63.9871
24,-63.9872
25,-63.9871
26,-63.9872
27,-63.9872
28,-63.9872
29,-63.9872
30,-63.9871
31,-63.9872
32,-60.6339
33,-54.5981
34,-54.3409
35,-53.9068
36,-52.7331
37,-52.7331
38,-52.7331
39,-52.7331
40,-52.7331
41,-52.7331
42,-52.7331
43,-52.7331
44,-52.6719
45,-52.4116
46,-52.4116
47,-52.4116
48,-52.4116
49,-52.4116
50,-52.4116
51,-52.4116
52,-52.4116
53,-52.4116
54,-52.3044
55,-45.6253
56,-41.4791
57,-39.7191
58,-37.5746
59,-34.5744
60,-32.7975
61,-32.7975
62,-32.7975
63,-32.7975
64,-32.7975
65,-32.7975
66,-34.0193
67,-34.0836
68,-34.0836
69,-34.0836
70,-34.0836
71,-34.0836
72,-34.0836
73,-34.0836
74,-34.0836
75,-34.0836
76,-34.0836
77,-34.0836
78,-34.0836
79,-34.0836
80,-34.0836
81,-34.0836
82,-34.0836
83,-34.0836
84,-34.0836
85,-34.0836
86,-34.0836
87,-34.4898
88,-40.1769
89,-42.8878
90,-44.0515
91,-44.0515
92,-44.0515
93,-44.5659
94,-44.6945
95,-44.6945
96,-44.6945
97,-43.0707
98,-40.4662
99,-36.1144
100,-34.7267
101,-34.7267
102,-34.7267
103,-34.7267
104,-34.7267
105,-34.7267
106,-34.7267
107,-34.7267
108,-34.6142
109,-33.8975
110,-32.7975
111,-32.7975
112,-32.7975
113,-32.7975
114,-32.6959
115,-32.4759
116,-32.4759
117,-32.4759
118,-32.4759
119,-32.4759
120,-32.4759
121,-32.4759
122,-32.899
123,-33.5477
124,-33.8103
125,-35.6592
126,-38.4727
127,-40.8191
128,-41.2801
129,-41.4791
130,-42.5241
131,-42.7653
132,-42.7653
133,-42.7653
134,-42.7653
135,-42.7653
136,-42.7653
137,-42.7653
138,-42.7653
139,-42.7653
140,-42.7653
141,-42.7653
142,-42.7653
143,-42.7653
144,-42.7653
145,-42.7653
146,-42.7653
147,-42.7653
148,-42.7653
149,-42.7653
150,-42.7653
151,-42.7653
152,-42.7653
153,-42.4277
154,-36.0282
155,-32.2897
156,-29.2145
157,-27.3481
158,-27.7293
159,-30.7878
160,-33.9313
161,-34.543
162,-35.3021
163,-35.3698
164,-35.3698
165,-35.3698
166,-36.4469
167,-40.1591
168,-40.1929
169,-40.1929
170,-40.1929
171,-40.1769
172,-41.9936
173,-42.7653
174,-42.7653
175,-42.7653
176,-42.7653
177,-42.7653
178,-42.7653
179,-42.7653
180,-42.7653
181,-42.7653
182,-42.7653
183,-42.7653
184,-42.7653
185,-42.7653
186,-41.3437
187,-41.1576
188,-41.1576
189,-41.1576
190,-41.1576
191,-41.1576
192,-41.1576
193,-41.1576
194,-41.1576
195,-41.1576
196,-40.8521
197,-39.791
198,-34.6142
199,-31.3023
200,-28.3127
201,-28.2958
202,-28.2958
203,-28.2958
204,-28.2958
205,-28.2958
206,-28.2958
207,-28.2958
208,-28.2958
209,-28.2958
210,-28.2958
211,-28.2958
212,-25.9225
213,-24.1801
214,-22.525
215,-21.865
216,-21.865
217,-21.865
218,-21.865
219,-22.8778
220,-24.8232
221,-28.2281
222,-29.7504
223,-31.4952
224,-32.3955
225,-32.7653
226,-34.0159
227,-34.7267
228,-36.0129
229,-36.0129
230,-36.0129
231,-36.0129
232,-36.0129
233,-36.0129
234,-36.0129
235,-36.5036
236,-36.9775
237,-36.9775
238,-36.9775
239,-36.9775
240,-36.9775
241,-36.9775
242,-36.9775
243,-36.9775
244,-36.9775
245,-36.9775
246,-36.9775
247,-36.9775
248,-36.9775
249,-36.9775
250,-36.9775
251,-36.9775
252,-36.9775
253,-37.4852
254,-36.7631
255,-31.1254
256,-26.1254
257,-26.045
258,-26.045
259,-26.045
260,-26.045
261,-26.045
262,-26.045
263,-26.045
264,-26.045
265,-26.3158
266,-27.3312
267,-28.2451
268,-28.6174
269,-28.6174
270,-28.6174
271,-28.6174
272,-28.2451
273,-27.4384
274,-27.3312
275,-27.3312
276,-27.3312
277,-28.0064
278,-29.9342
279,-31.2066
280,-32.2462
281,-33.5421
282,-34.3745
283,-33.5852
284,-29.0193
285,-27.508
286,-26.1973
287,-25.0957
288,-24.8096
289,-24.4373
290,-23.9068
291,-23.5742
292,-23.0746
293,-21.5603
294,-20.7472
295,-20.2733
296,-20.2572
297,-20.2572
298,-20.2572
299,-20.2572
300,-20.2572
301,-20.2572
302,-17.1704
303,-11.6238
304,-5.7556
305,-1.8277
306,4.4863
307,11.694
308,11.8359
309,9.9848
310,7.3343
311,6.1093
312,2.6739
313,-1.5159
314,-5.0322
315,-8.1672
316,-11.8802
317,-16.4447
318,-19.3891
319,-26.3327
320,-35.921
321,-33.0005
322,-24.3148
323,-13.5048
324,-9.0354
325,-3.5209
326,2.6367
327,9.6785
328,11.8971
329,12.0196
330,11.045
331,8.4084
332,5.8039
333,1.76
334,-2.6642
335,-3.4185
