Time of Rating,25-Apr-2016 12:24:05
Multimedia File,all_vocal_1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,39.8714
2,40.176
3,40.1929
4,40.1929
5,40.7395
6,41.9231
7,41.8007
8,41.8007
9,41.1576
10,40.637
11,43.119
12,43.9228
13,40.6109
14,37.6544
15,35.1095
16,33.8974
17,33.6702
18,33.102
19,39.1961
20,40.5145
21,40.5145
22,41.3566
23,41.7668
24,40.3614
25,40.1929
26,40.1929
27,40.5305
28,43.2797
29,44.0514
30,44.0514
31,43.7299
32,43.7299
33,43.7299
34,43.7299
35,43.7299
36,44.8476
37,46.3022
38,46.3022
39,46.1161
40,46.1254
41,46.3022
42,46.3022
43,46.3022
44,46.3022
45,46.3022
46,46.3022
47,46.3022
48,46.3022
49,46.3022
50,46.5779
51,47.1146
52,45.4502
53,45.6285
54,46.3022
55,46.3022
56,46.1499
57,46.0573
58,47.2669
59,47.2669
60,46.9284
