Time of Rating,26-Apr-2016 10:26:40
Multimedia File,all_vocal_1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0.18207
4,4.8599
5,9.9956
6,13.6454
7,14.8879
8,16.8347
9,17.8992
10,17.824
11,17.4336
12,19.6668
13,18.234
14,13.0252
15,7.1709
16,1.8627
17,-3.2434
18,-6.1358
19,-4.2754
20,-2.0675
21,0.58823
22,0.91035
23,1.2885
24,-0.98777
25,-2.521
26,-4.1177
27,-9.972
28,-13.9614
29,-14.2157
30,-12.7118
31,-10.9686
32,-11.2845
33,-11.4846
34,-11.1765
35,-10.5042
36,-7.0869
37,-6.2325
38,-0.66343
39,7.2296
40,7.9758
41,8.8035
42,9.7619
43,10.1135
44,11.4046
45,11.4006
46,10.126
47,12.1333
48,13.7121
49,13.5854
50,12.0006
51,12.1382
52,8.197
53,-1.574
54,-4.2017
55,-4.1177
56,-3.7815
57,-4.3934
58,0.56022
59,1.1205
60,1.1057
