Time of Rating,05-May-2016 18:06:12
Multimedia File,end_seg (1).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0.72751
3,4.9479
4,0.98958
5,10.9549
6,16.9042
7,25.0165
8,27.0833
9,27.0833
10,27.0833
11,32.4196
12,36.5575
13,26.0965
14,22.5695
15,22.5695
16,22.5695
17,22.5695
18,22.5695
19,22.8009
20,24.5797
21,26.7361
22,26.7361
23,23.538
24,22.9167
25,22.9167
26,22.9167
27,22.9167
28,22.9167
29,22.9167
30,23.2456
31,23.2639
32,23.2639
33,23.2639
34,23.2639
35,23.2639
36,23.2639
37,23.2639
38,23.2639
39,23.2639
40,26.1409
41,26.5899
42,25.3472
43,25.3472
44,25.3472
45,26.6865
46,36.8056
47,46.7535
48,48.6285
49,53.941
50,65.5729
51,75.1462
52,78.3069
53,79.8611
54,83.7302
55,73.2292
56,69.0789
57,68.0556
58,68.0556
59,68.0556
60,68.0556
61,68.0556
62,68.0556
63,68.1104
64,68.75
65,68.75
66,68.75
67,68.75
68,68.75
69,68.75
70,68.75
71,68.75
72,68.75
73,68.75
74,68.75
75,68.75
76,68.75
77,68.75
78,68.75
79,68.75
80,68.75
81,68.75
82,68.75
83,68.75
84,68.75
85,68.75
86,68.75
87,68.75
88,68.75
89,68.75
90,69.5106
91,63.4137
92,47.9663
93,31.5799
94,26.7361
95,26.7361
96,26.7361
97,25.9201
98,22.1007
99,12.3785
100,0.87719
101,-2.0833
102,7.934
103,36.367
104,56.0351
105,57.6389
106,57.7431
107,60.6542
108,62.1858
109,45.8854
110,36.3304
111,35.0694
112,18.4393
113,-21.412
114,-40.4861
115,-22.076
116,10.6812
117,37.0614
118,12.9464
119,-23.2456
120,20.2381
121,50.4861
122,62.4826
123,72.0313
124,78.1067
125,84.3585
126,83.6806
127,83.7798
128,92.2743
129,92.3611
130,87.4173
131,84.0278
132,82.2917
133,82.4479
134,84.375
135,84.375
136,84.375
137,84.375
138,84.375
139,84.375
140,84.375
141,84.375
142,84.375
143,84.375
144,84.375
145,84.375
146,84.375
147,84.375
148,84.375
149,84.375
150,78.2346
151,69.3783
152,61.3368
153,45.7639
154,45.8333
155,41.0937
156,57.8125
157,66.758
158,41.7493
159,19.9561
160,29.3651
161,30.5556
162,30.5556
163,30.5556
164,44.2361
165,50.6944
166,50.6944
167,50.6944
168,50.6944
169,50.6944
170,50.6944
171,50.6944
172,46.627
173,33.6111
174,22.7257
175,22.6563
176,24.6893
177,25
178,25
179,25
180,25
181,25
182,25
183,25
184,25
185,25
186,4.4312
187,-4.1146
188,33.75
189,56.684
190,59.6354
191,59.7222
192,62.4132
193,52.2743
194,54.3311
195,60.0694
196,60.0694
197,60.0694
198,53.7864
199,42.5868
200,16.9618
201,7.2222
202,9.2882
203,9.7222
204,9.7222
205,9.7222
206,9.7222
207,9.7222
208,9.7222
209,9.7222
210,9.7222
211,9.7222
212,27.9861
213,61.0937
214,91.7014
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,99.8904
233,78.9021
234,51.9792
235,1.4931
236,-34.8438
237,-10.4898
238,24.2725
239,29.6875
240,47.9552
