Time of Rating,14-May-2016 13:06:14
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0
4,0.71038
5,2.3133
6,5.2641
7,7.4135
8,8.9947
9,10.6893
10,17.8688
11,22.2404
12,24.2441
13,24.7541
14,26.8852
15,29.7086
16,31.4754
17,32.4226
18,33.3333
19,24.5719
20,9.6357
21,23.6612
22,38.4335
23,40.6193
24,40.6193
25,40.6193
26,40.6193
27,40.6193
28,40.6193
29,40.6193
30,40.6193
31,40.6193
32,40.6193
33,40.6193
34,40.6193
35,40.6193
36,42.8233
37,43.1694
38,43.1694
39,43.6487
40,43.898
41,44.0021
42,44.6266
43,44.9736
44,45.7195
45,45.7715
46,46.4481
47,46.4481
48,46.4481
49,46.4481
50,46.4481
51,46.4481
52,46.4481
53,46.4481
54,46.7759
55,47.1767
56,47.1767
57,47.1767
58,47.1767
59,47.1767
60,47.1767
61,47.1767
62,47.1767
63,47.1767
64,47.1767
65,47.1767
66,47.1767
67,47.1767
68,47.1767
69,37.5774
70,27.8688
71,44.827
72,48.6157
73,48.6339
74,48.6339
75,48.6703
76,48.9982
77,50.0364
78,52.2769
79,52.2769
80,52.2769
81,52.1494
82,51.0018
83,50.8197
84,50.8197
85,50.8197
86,50.8197
87,50.8197
88,51.0565
89,52.4044
90,52.9508
91,53.7158
92,52.6594
93,52.8051
94,53.6976
95,53.7341
96,53.5615
97,52.7869
98,50.9107
99,45.7923
100,44.0073
101,42.8051
102,45.1548
103,44.5355
104,47.0379
105,47.5218
106,47.541
107,46.0175
108,44.2815
109,48.7067
110,49.9818
111,50.0911
112,48.4882
113,45.8834
114,47.3224
115,47.8871
116,46.0838
117,44.5691
118,40.929
119,40.765
120,43.3515
121,44.6266
122,44.3898
123,46.4481
124,48.6521
125,49.3989
126,48.2696
127,49.6117
128,51.1293
129,51.5483
130,51.5483
131,51.3479
132,51.184
133,52.0851
134,52.2769
135,51.9126
136,51.184
137,51.4572
138,51.2022
139,51.184
140,51.184
141,51.184
142,50.8197
143,49.4583
144,45.147
145,40.3317
146,35.174
147,29.2567
148,23.8616
149,19.3443
150,17.0127
151,20.2012
152,24.2067
153,25.4645
154,25.4228
155,24.3409
156,25.0091
157,25.3188
158,25.3188
159,25.1912
160,24.9545
161,24.9545
162,24.9545
163,25.9433
164,31.8761
165,35.3466
166,35.5191
167,34.848
168,32.1676
169,30.4189
170,32.0765
171,32.5501
172,31.8033
173,31.3115
174,32.1858
175,32.2404
176,32.2404
177,31.9672
178,31.8944
179,32.2404
180,32.0583
181,31.2022
182,32.1494
183,32.6047
184,32.6047
185,32.6047
186,30.8379
187,30.4918
188,32.2404
189,32.2404
190,32.2404
191,32.3272
192,32.3938
193,25.337
194,19.5082
195,19.49
196,20.8379
197,24.7723
198,26.7213
199,23.388
200,19.745
201,19.1257
202,19.8361
203,21.6758
204,22.0401
205,22.3315
206,22.4044
207,22.4044
208,22.4044
209,22.4044
210,22.335
211,21.3498
212,20.9472
213,20.9472
214,20.9472
215,21.9308
216,20.8197
217,19.1257
218,20.929
219,25.0455
220,27.9417
221,29.7814
222,28.6339
223,30.1639
224,29.235
225,29.3261
226,29.1257
227,26.9581
228,25.8288
229,25.7377
230,27.4681
231,27.5045
232,26.8919
233,25.127
234,23.1512
235,22.1494
236,24.1348
237,27.031
238,29.1075
239,28.1056
240,27.9264
