Time of Rating,05-May-2016 17:02:48
Multimedia File,video (2).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0.87045
4,9.0172
5,19.6057
6,24.3045
7,26.3724
8,23.1951
9,25.0896
10,26.2903
11,26.8817
12,26.8817
13,26.147
14,22.7598
15,14.9855
16,0.71685
17,-8.1584
18,-12.1487
19,-18.9606
20,-23.5877
21,-24.9764
22,-25.0896
23,-25.0896
24,-25.0896
25,-25.0896
26,-25.0896
27,-25.8577
28,-27.2401
29,-27.9749
30,-33.9785
31,-41.304
32,-45.9725
33,-51.0932
34,-55.8244
35,-58.1004
36,-58.3717
37,-58.0645
38,-58.0645
39,-58.0645
40,-58.0645
41,-53.3692
42,-52.491
43,-52.6882
44,-52.6882
45,-52.6882
46,-52.6882
47,-52.6882
48,-45.4301
49,-26.6129
50,-37.9758
51,-52.3864
52,-55.8961
53,-55.914
54,-55.914
55,-55.6068
56,-34.1634
57,-6.3799
58,-44.5699
59,-14.1756
60,-47.3298
61,-51.6129
62,-51.6129
63,-51.6129
64,-51.6129
65,-37.2581
66,7.6212
67,-30.6272
68,-3.7276
69,-39.5878
70,-23.7993
71,13.1183
72,26.7742
73,49.7312
74,45.6563
75,25.3914
76,-13.2437
77,-13.1004
78,12.8853
79,46.7204
80,55.6989
81,54.1756
82,51.0753
83,57.509
84,45.0538
85,-21.8638
86,-25.1613
87,-26.1111
88,-28.638
89,-29.7491
90,-30.0734
91,-30.1075
92,-30.2867
93,-33.4229
94,-33.6917
95,-33.6917
96,-33.6917
97,-33.6917
98,-33.6917
99,-33.6917
100,-33.6917
101,-33.6917
102,-33.6917
103,-33.6917
104,-24.6237
105,-9.8925
106,-5.8781
107,18.7634
108,34.086
109,33.0602
110,34.2954
111,26.3978
112,7.1326
113,-16.6846
114,-29.3907
115,-32.6165
116,-32.6165
117,-32.6165
118,-17.2401
119,23.7634
120,6.9176
121,-18.638
122,-27.4854
123,-27.957
124,-27.957
125,-27.957
126,-27.957
127,-13.8889
128,-13.871
129,-30.9319
130,-37.276
131,-37.276
132,-29.2294
133,-25.2509
134,-47.1326
135,-48.7455
136,-48.7455
137,-48.7455
138,-48.7455
139,-48.7455
140,-48.7455
141,-46.7563
142,-45.3149
143,-46.9534
144,-21.129
145,-8.5663
146,-22.0968
147,-36.0215
148,-47.276
149,-48.7455
150,-48.7455
151,-48.9606
152,-45.0358
153,-11.1111
154,12.8853
155,22.9032
156,28.0423
157,47.5571
158,73.1541
159,89.767
160,95.0717
161,75.2859
162,60.0075
163,48.626
164,42.973
165,31.3799
166,29.0322
167,29.0322
168,29.0322
169,33.7295
170,36.2007
171,36.2007
172,33.5125
173,34.0323
174,34.767
175,34.767
176,34.767
177,48.821
