Time of Rating,5/3/2016 12:58
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,18.328
2,18.328
3,18.328
4,18.328
5,18.328
6,18.328
7,18.328
8,18.328
9,16.46
10,13.6233
11,10.9478
12,6.7524
13,6.5687
14,4.0193
15,3.8585
16,4.5475
17,4.8231
18,4.5981
19,-2.6062
20,-8.896
21,-14.1479
22,-14.1479
23,-14.1479
24,-14.1479
25,-15.3422
26,-23.1672
27,-33.0513
28,-30.8376
29,-16.3649
30,-3.8891
31,-4.5016
32,-4.3944
33,-2.8135
34,-7.3473
35,-9.1479
36,-10.2894
37,-8.8348
38,-8.0386
39,-8.0386
40,-8.0547
41,-8.8678
42,-8.8807
43,-5.5627
44,-1.6077
45,-1.6077
46,-1.6077
47,-1.5273
48,3.2831
49,-3.4757
50,-3.537
51,-1.6843
52,-0.96462
53,-0.66001
54,1.2862
55,1.2862
56,1.2862
57,1.2862
58,1.2862
59,1.4554
60,1.9292
61,2.5723
62,9.054
63,8.253
64,7.7171
65,7.7171
66,7.7171
67,8.0894
68,11.8665
69,12.8617
70,12.0808
71,11.8971
72,11.8971
73,11.8971
74,11.8971
75,10.8559
76,10.2894
77,16.0289
78,15.0279
79,10.9478
80,10.2894
81,9.0371
82,7.3955
83,11.3556
84,11.8971
85,12.6849
86,10.2555
87,-2.557
88,-13.5048
89,-15.9853
90,-11.8463
91,-0.96463
92,6.2701
93,23.2527
94,32.2309
95,31.5789
96,30.8682
97,32.1704
98,32.4759
99,34.4373
100,38.9575
101,38.8761
102,38.2637
103,40.4992
104,44.8714
105,45.0161
106,43.2797
107,42.4099
108,38.4015
109,37.299
110,36.2578
111,34.4052
112,33.0513
113,27.9896
114,26.6035
115,25.0804
116,24.7588
117,24.7588
118,24.7588
119,21.4469
120,12.8617
121,12.8617
122,12.8617
123,20.5627
124,23.1511
125,23.5742
126,19.4694
127,1.2709
128,-14.6387
129,-20.4563
130,-22.1019
131,-18.9251
132,-13.3762
133,-4.857
134,9.4626
135,25.5373
136,34.053
137,35.3698
138,35.3698
139,35.3698
140,35.3698
141,45.2151
142,63.9364
143,69.6677
144,69.7749
145,68.6495
146,68.1213
147,66.001
148,65.5948
149,66.1872
150,67.0341
151,67.3151
152,67.5241
153,65.1929
154,58.7917
155,55.5505
156,54.9839
157,50.7579
158,38.6656
159,35.7252
160,20.1347
161,24.4694
162,28.9389
163,28.9389
164,28.9389
165,22.1526
166,16.9132
167,16.7202
168,15.7895
169,15.7556
170,15.7717
171,14.1158
172,8.7781
173,14.6785
174,18.3441
175,18.6495
176,18.6495
177,19.5465
178,14.4373
179,9.1563
180,9.0032
181,9.0032
182,9.0032
183,9.0032
184,9.0032
185,9.0032
186,10.0903
187,10.8309
188,12.2186
189,12.2186
190,12.2186
191,12.2186
192,12.2186
193,12.0502
194,11.0679
195,10.9325
196,10.9325
197,10.9325
198,10.9325
199,10.8309
200,8.3601
201,8.3601
202,8.2683
203,0.69386
204,-1.2249
205,7.3633
206,15.9756
207,17.9299
208,18.971
209,18.971
210,18.971
211,19.2283
212,28.4244
213,36.3513
214,24.7741
215,1.2185
216,0.32155
217,0.32155
218,-0.11847
219,-0.32155
220,-0.32155
221,-0.32155
222,-0.32155
223,-0.32155
224,-0.32155
225,-0.32155
226,-0.32155
227,-0.32155
228,-0.32155
229,-0.32155
230,-0.32155
231,-0.32155
232,-0.32155
233,-0.32155
234,-0.32155
235,-0.32155
236,-0.32155
237,-0.32155
238,-0.32155
239,-0.32155
240,-0.32155
