Time of Rating,28-Apr-2016 11:58:59
Multimedia File,end_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,1.0154
3,8.0386
4,14.0971
5,25.3866
6,33.2205
7,38.8103
8,39.4733
9,40.836
10,40.836
11,39.3975
12,34.3286
13,30.0482
14,28.5666
15,27.0096
16,27.2297
17,28.9083
18,25.6219
19,21.2678
20,17.1704
21,9.0878
22,-1.623
23,-13.0648
24,-20.3797
25,-30.1608
26,-33.6817
27,-33.7621
28,-36.0611
29,-44.2352
30,-52.1916
31,-58.3678
32,-62.701
33,-62.701
34,-62.701
35,-62.701
36,-62.701
37,-63.2594
38,-66.192
39,-70.5534
40,-76.463
41,-79.2834
42,-79.5905
43,-75.578
44,-72.9582
45,-72.074
46,-72.0257
47,-72.0257
48,-72.0257
49,-72.6519
50,-75.8383
51,-79.3197
52,-82.2845
53,-84.7267
54,-84.8875
55,-84.8875
56,-84.8875
57,-83.0501
58,-78.4397
59,-73.4497
60,-67.9743
61,-61.7363
62,-58.4903
63,-57.5563
64,-56.6376
65,-55.0685
66,-54.3409
67,-54.3409
68,-54.3409
69,-54.3409
70,-54.3409
71,-54.3409
72,-54.4695
73,-55.6592
74,-53.2154
75,-45.8792
76,-40.4685
77,-36.859
78,-34.7267
79,-37.5884
80,-42.3312
81,-45.9164
82,-47.283
83,-48.4084
84,-52.5563
85,-60.1447
86,-67.5918
87,-74.3569
88,-80.294
89,-84.4644
90,-89.3891
91,-89.3891
92,-89.3891
93,-89.3891
94,-89.3891
95,-90.124
96,-91.843
97,-91.9614
98,-91.9614
99,-90.9356
100,-87.3151
101,-84.2444
102,-81.9017
103,-77.7289
104,-70.7089
105,-66.1026
106,-62.0273
107,-60.4502
108,-60.264
109,-58.6128
110,-58.1994
111,-58.1994
112,-58.1994
113,-58.1994
114,-58.1994
115,-58.1994
116,-58.1994
117,-58.1994
118,-58.1994
119,-57.8618
120,-52.9904
121,-50.1608
122,-48.2484
123,-46.2869
124,-34.5405
125,-25.9838
126,-19.3569
127,-13.8771
128,-13.0608
129,-14.791
130,-16.6399
131,-21.3183
132,-25.5145
133,-30.5128
134,-33.7621
135,-36.2272
136,-38.9575
137,-44.7558
138,-50.8039
139,-56.9293
140,-60.7717
141,-60.7717
142,-60.7717
143,-60.7717
144,-60.7717
145,-60.7717
146,-60.7717
147,-60.7717
148,-62.4133
149,-65.013
150,-67.074
151,-68.1672
152,-68.1672
153,-68.1672
154,-67.3404
155,-63.0056
156,-59.853
157,-57.7255
158,-55.5505
159,-47.3633
160,-43.2899
161,-42.7653
162,-42.7653
163,-42.7653
164,-42.7653
165,-42.7653
166,-42.7653
167,-42.7653
168,-43.4543
169,-46.4884
170,-48.1549
171,-51.8489
172,-60.2733
173,-65.3376
174,-69.1657
175,-72.2707
176,-72.3473
177,-72.3473
178,-72.3473
179,-70.4502
180,-66.2058
181,-63.4287
182,-63.3441
183,-63.3441
184,-63.3441
185,-64.0032
186,-67.2195
187,-70.1883
188,-72.5504
189,-74.0315
190,-74.1961
191,-71.0129
192,-65.7472
193,-61.7524
194,-55.4433
195,-46.4884
196,-37.3144
197,-29.791
198,-22.2026
199,-17.6688
200,-15.7556
201,-12.8158
202,-0.23693
203,6.3543
204,6.3124
205,5.4019
206,5.1447
207,5.1447
208,5.5734
209,8.377
210,9.6463
211,9.7749
212,10.9325
213,11.447
214,12.5402
215,12.5402
216,14.5202
217,17.593
218,19.1572
219,19.2926
220,19.2926
221,19.2926
222,19.2926
223,18.6664
224,24.8201
225,31.045
226,32.7974
227,32.7974
228,32.7974
229,32.7974
230,32.7974
231,32.4146
232,31.0772
233,29.3112
234,24.0545
235,17.0756
236,9.2329
237,6.0129
238,12.717
239,19.5295
240,21.2726
