Time of Rating,5/3/2016 12:39
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,10.2894
2,10.2894
3,10.2894
4,10.2894
5,10.2894
6,10.2894
7,10.2894
8,9.6801
9,-0.81993
10,-4.5016
11,-6.8032
12,-9.6463
13,-9.6463
14,-9.6463
15,-10.4019
16,-11.8971
17,-11.2693
18,-13.2848
19,-15.2044
20,0.73955
21,6.4309
22,6.4309
23,7.4277
24,10.5788
25,10.9325
26,10.9325
27,10.9325
28,8.9879
29,2.09
30,-0.13539
31,-0.6431
32,-2.2187
33,-2.8939
34,-2.8939
35,-2.8939
36,-3.1029
37,-3.8416
38,-4.915
39,-8.9694
40,-10.5497
41,-12.2669
42,-14.791
43,-13.0818
44,-13.9618
45,-14.9901
46,-17.2347
47,-23.6013
48,-24.6785
49,-25.9486
50,-30.9646
51,-33.119
52,-32.9812
53,-29.0354
54,-27.0096
55,-26.463
56,-26.3666
57,-21.6506
58,-18.6495
59,-19.7367
60,-23.2315
61,-23.7942
62,-25.1447
63,-27.0773
64,-24.4526
65,-24.4373
66,-24.7588
67,-24.7588
68,-25.9325
69,-27.9743
70,-27.9743
71,-27.9743
72,-27.9743
73,-27.8939
74,-27.0096
75,-26.2701
76,-25.7235
77,-25.7235
78,-25.7235
79,-26.2379
80,-21.2058
81,-15.7235
82,-14.1479
83,-14.9036
84,-17.2669
85,-18.328
86,-18.328
87,-18.5117
88,-19.7267
89,-22.1865
90,-22.3856
91,-22.5081
92,-22.8939
93,-23.6013
94,-23.8746
95,-25.3858
96,-25.1481
97,-24.1157
98,-24.1157
99,-23.8708
100,-23.4727
101,-22.5884
102,-17.3151
103,-17.6849
104,-17.1383
105,-12.5402
106,-12.4789
107,-16.8007
108,-22.5241
109,-31.1897
110,-36.8929
111,-38.5852
112,-38.5852
113,-38.5852
114,-38.5852
115,-38.5852
116,-38.5852
117,-38.5852
118,-38.5852
119,-38.5852
120,-38.5852
121,-37.3312
122,-36.0129
123,-36.2425
124,-40.6499
125,-45.0773
126,-49.0514
127,-49.8392
128,-49.8392
129,-49.8392
130,-49.8392
131,-49.8392
132,-49.8392
133,-49.8392
134,-50.9417
135,-57.09
136,-59.4855
137,-59.4855
138,-59.4855
139,-59.4855
140,-59.4855
141,-59.4855
142,-59.4855
143,-59.4855
144,-59.4855
145,-59.4855
146,-59.4855
147,-59.4855
148,-58.3441
149,-55.7235
150,-50.0482
151,-43.1511
152,-41.1576
153,-41.1576
154,-41.656
155,-42.1222
156,-39.6302
157,-35.0821
158,-32.4146
159,-29.1479
160,-19.8553
161,-15.4341
162,-15.5864
163,-15.7556
164,-14.8756
165,-12.8618
166,-12.8618
167,-4.5016
168,7.0579
169,7.0257
170,5.418
171,4.18
172,4.18
173,4.18
174,4.18
175,4.18
176,4.18
177,4.18
178,3.3601
179,-2.074
180,-2.1704
181,0
182,2.3274
183,12.0325
184,12.1421
185,12.701
186,14.4694
187,14.4694
188,14.4694
189,14.7588
190,15.1125
191,15.7235
192,14.5202
193,14.4694
194,13.8746
195,11.1694
196,11.4837
197,10.4341
198,11.672
199,11.2862
200,10.8039
201,8.5048
202,6.4309
203,6.4309
204,6.3293
205,9.2482
206,10.6109
207,10.7878
208,11.4309
209,10.9325
210,10.5803
211,9.0032
212,8.6817
213,8.6817
214,8.6817
215,8.6817
216,8.6817
217,8.6817
218,8.9863
219,8.9113
220,6.3183
221,1.8167
222,-0.5627
223,1.5569
224,4.8385
225,5.1447
226,4.4212
227,6.3826
228,8.3601
229,8.3601
230,8.3601
231,8.3601
232,6.6238
233,1.0932
234,-6.4309
235,-10.8309
236,-12.5096
237,-12.5402
238,-12.5402
239,-12.5402
240,-12.5402
