Time of Rating,28-Apr-2016 11:45:22
Multimedia File,mid_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,-3.0386
4,-10.1371
5,-16.0466
6,-20.0203
7,-19.4151
8,-15.9249
9,-10.9486
10,-1.0565
11,6.4139
12,10.1057
13,12.8956
14,15.3728
15,15.4341
16,16.2762
17,16.7202
18,16.7202
19,17.9911
20,23.2019
21,25.7388
22,26.045
23,26.045
24,24.2229
25,24.1157
26,24.0545
27,22.9988
28,17.2102
29,10.5627
30,4.4695
31,-2.1222
32,-7.1924
33,-11.9737
34,-17.6511
35,-25.1723
36,-30.6752
37,-33.0344
38,-34.9564
39,-38.2637
40,-43.8371
41,-49.8553
42,-52.6688
43,-55.7624
44,-56.5916
45,-58.7965
46,-59.164
47,-59.164
48,-59.164
49,-59.164
50,-59.164
51,-59.164
52,-59.164
53,-59.164
54,-59.164
55,-59.164
56,-59.164
57,-59.164
58,-59.164
59,-59.164
60,-59.164
61,-59.164
62,-59.164
63,-59.164
64,-59.164
65,-59.164
66,-59.164
67,-59.164
68,-59.164
69,-59.164
70,-59.164
71,-59.164
72,-59.164
73,-59.164
74,-59.164
75,-59.164
76,-59.164
77,-59.164
78,-59.164
79,-59.164
80,-59.164
81,-59.164
82,-59.164
83,-59.164
84,-60.8902
85,-62.6091
86,-66.0289
87,-69.8232
88,-71.9775
89,-72.3473
90,-72.3473
91,-72.3473
92,-72.3473
93,-72.3473
94,-72.3473
95,-72.3473
96,-72.3473
97,-72.3473
98,-72.3473
99,-72.3473
100,-72.3473
101,-72.3473
102,-72.3473
103,-72.3473
104,-68.55
105,-66.881
106,-66.881
107,-66.881
108,-66.881
109,-66.881
110,-66.881
111,-66.881
112,-66.881
113,-66.881
114,-66.881
115,-66.881
116,-66.881
117,-66.881
118,-66.881
119,-66.881
120,-66.881
121,-66.881
122,-66.881
123,-65.7235
124,-60.0948
125,-51.9063
126,-48.5023
127,-47.2669
128,-47.5377
129,-50.5627
130,-54.8002
131,-58.4194
132,-62.9613
133,-66.2718
134,-71.7807
135,-77.3955
136,-80.0643
137,-80.0643
138,-80.0643
139,-80.0643
140,-80.0643
141,-80.0643
142,-80.0643
143,-80.0643
144,-80.0643
145,-80.0643
146,-80.0643
147,-80.0643
148,-80.0643
149,-80.0643
150,-79.5566
151,-76.5427
152,-69.9196
153,-65.6431
154,-61.8006
155,-52.0579
156,-44.8553
157,-39.0421
158,-33.7008
159,-33.119
160,-33.3119
161,-34.0836
162,-34.0836
163,-28.6174
164,-23.2958
165,-21.5434
166,-13.6817
167,-5.0643
168,2.6688
169,4.7428
170,3.8585
171,3.8585
172,3.9963
173,9.3248
174,16.3222
175,17.3633
176,17.3633
177,19.4534
178,19.9357
179,21.7203
180,24.1157
181,27.6367
182,32.8434
183,38.7206
184,41.6169
185,43.2222
186,43.8677
187,44.373
188,44.373
189,44.2811
190,42.7991
191,39.8561
192,37.3633
193,37.2347
194,32.91
195,27.5884
196,21.9293
197,14.9772
198,10.0138
199,4.3324
200,-1.9905
201,-7.0096
202,-11.3387
203,-14.4082
204,-18.0403
205,-21.1606
206,-26.2862
207,-33.4084
208,-38.8729
209,-40.209
210,-41.1729
211,-42.4437
212,-42.4437
213,-42.4437
214,-42.4437
215,-42.4437
216,-42.4437
217,-42.4437
218,-42.4437
219,-42.3672
220,-39.9729
221,-39.2283
222,-39.2283
223,-39.1437
224,-37.299
225,-37.299
226,-37.299
227,-37.299
228,-37.299
229,-37.299
230,-36.2667
231,-25.4785
232,-14.5033
233,-11.2234
234,-9.6463
235,-10.1202
236,-14.3623
237,-16.3479
238,-12.0196
239,-5.1125
240,2.358
