Time of Rating,5/3/2016 12:51
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,26.3666
2,26.3666
3,26.3666
4,26.3666
5,26.3666
6,26.5696
7,26.6881
8,26.6881
9,24.9035
10,22.2347
11,14.5202
12,9.6157
13,9.0032
14,6.9974
15,3.955
16,4.5016
17,4.5016
18,4.5016
19,3.9504
20,3.537
21,3.537
22,3.537
23,3.537
24,3.3992
25,2.1662
26,4.1494
27,10.0482
28,13.3923
29,14.1479
30,19.8172
31,29.781
32,43.8314
33,53.5446
34,54.1479
35,54.6624
36,54.6624
37,55.0685
38,55.9486
39,54.8655
40,54.6624
41,54.6624
42,54.6164
43,56.2219
44,58.8425
45,58.8425
46,57.0257
47,54.791
48,54.6624
49,54.6624
50,50.9485
51,47.5884
52,47.5884
53,47.5884
54,48.6602
55,49.8392
56,49.0438
57,45.2151
58,44.3053
59,45.8429
60,50.8377
61,54.6777
62,54.9839
63,54.9839
64,54.9839
65,53.1901
66,53.6671
67,54.3408
68,54.5552
69,59.8714
70,60.4502
71,60.2052
72,60.1286
73,60.1286
74,61.6077
75,62.0579
76,62.0579
77,62.0579
78,62.0579
79,62.0579
80,62.0579
81,62.0579
82,62.0579
83,62.0579
84,62.0579
85,62.0579
86,62.0579
87,61.6559
88,57.184
89,54.8553
90,56.2701
91,54.9162
92,53.9734
93,57.9421
94,58.8425
95,58.3119
96,59.4373
97,60.2572
98,60.4502
99,60.4502
100,61.804
101,62.701
102,62.701
103,62.701
104,62.701
105,62.074
106,61.5434
107,63.0902
108,64.6302
109,64.3891
110,61.7871
111,61.4148
112,61.4148
113,61.4148
114,61.3505
115,60.9325
116,63.4244
117,61.7871
118,61.7363
119,61.6348
120,62.1865
121,64.5338
122,63.2154
123,62.3794
124,62.3794
125,62.9306
126,63.3441
127,63.2216
128,62.7814
129,63.0056
130,63.7881
131,66.6441
132,67.126
133,66.8649
134,66.5595
135,66.5595
136,66.5595
137,66.5595
138,66.5595
139,66.5595
140,66.5595
141,66.5595
142,66.5595
143,67.2533
144,68.795
145,68.8103
146,68.8103
147,68.8103
148,68.8103
149,68.8103
150,68.218
151,66.3298
152,66.2379
153,66.2379
154,66.2379
155,66.2379
156,66.2379
157,66.2379
158,66.2379
159,66.2379
160,66.2379
161,66.2379
162,66.2379
163,66.2379
164,65.561
165,70.2649
166,66.8303
167,60.9401
168,60.7717
169,60.7717
170,59.853
171,52.3946
172,46.7157
173,46.9453
174,47.2669
175,46.1575
176,44.373
177,44.373
178,44.373
179,44.7749
180,46.0772
181,39.1961
182,35.6913
183,35.6913
184,32.4453
185,24.2342
186,21.2831
187,21.2219
188,21.4469
189,21.5434
190,21.5434
191,21.5434
192,21.5434
193,21.5434
194,21.5434
195,21.5434
196,21.5434
197,21.5434
198,21.5434
199,22.0579
200,23.7942
201,23.2154
202,22.7957
203,22.0946
204,21.865
205,21.865
206,21.865
207,21.865
208,21.881
209,23.5742
210,17.6849
211,16.3987
212,16.3987
213,16.3987
214,16.3987
215,16.3987
216,16.3987
217,16.3987
218,16.3987
219,16.3987
220,16.4148
221,17.6688
222,17.6849
223,17.6849
224,17.6849
225,17.6849
226,17.6849
227,19.4373
228,18.7138
229,18.328
230,18.328
231,18.328
232,18.328
233,18.328
234,18.328
235,18.328
236,18.328
237,18.328
238,18.328
239,18.328
240,18.328
