Time of Rating,28-Apr-2016 11:40:43
Multimedia File,mid_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,2.4598
4,7.4116
5,10.7556
6,14.0997
7,14.7402
8,9.6004
9,3.6554
10,-2.0364
11,-10.8843
12,-15.3055
13,-16.6357
14,-17.3633
15,-17.9904
16,-18.328
17,-20.2894
18,-22.525
19,-25.356
20,-29.3569
21,-30.8843
22,-31.1897
23,-31.1897
24,-30.9528
25,-29.582
26,-27.7814
27,-20.3055
28,-14.164
29,-5.9486
30,-0.8521
31,5.5466
32,14.6141
33,21.6399
34,28.5048
35,32.8457
36,36.9098
37,38.1871
38,42.3151
39,46.672
40,50.9968
41,57.299
42,58.1994
43,58.1994
44,58.1994
45,58.1994
46,58.1994
47,58.1994
48,58.1994
49,58.1994
50,58.1994
51,58.1994
52,58.1994
53,58.1994
54,58.1994
55,58.1994
56,58.1994
57,58.1994
58,58.1994
59,59.2317
60,59.4855
61,59.4855
62,59.4855
63,59.4855
64,59.4855
65,59.4855
66,59.4855
67,59.4855
68,59.4855
69,59.4855
70,59.4855
71,60.5573
72,61.5756
73,61.7363
74,61.045
75,58.9068
76,58.119
77,56.4055
78,56.3467
79,57.5563
80,57.926
81,63.1029
82,67.0418
83,67.8456
84,67.8456
85,67.8456
86,67.8456
87,67.8456
88,67.8456
89,67.8456
90,67.8456
91,67.8456
92,67.8456
93,67.8456
94,67.8456
95,67.8456
96,67.8456
97,67.8456
98,67.8456
99,67.8456
100,62.1061
101,54.4695
102,50.3698
103,47.6527
104,47.5884
105,47.5884
106,48.6656
107,50.4823
108,50.2833
109,48.35
110,44.7961
111,44.7588
112,49.3646
113,52.327
114,58.135
115,64.2765
116,67.0164
117,67.2026
118,67.2669
119,67.5241
120,67.5241
121,67.5241
122,67.5241
123,67.5241
124,67.5241
125,66.2862
126,65.6109
127,64.9679
128,65.3072
129,67.0341
130,69.6141
131,73.5209
132,75.4341
133,76.9614
134,80.3215
135,83.6977
136,84.8874
137,84.8874
138,84.8874
139,84.8874
140,84.8874
141,84.8874
142,84.8874
143,84.8874
144,84.8874
145,84.8874
146,84.8874
147,84.3798
148,83.3716
149,80
150,75.3055
151,71.3665
152,69.5338
153,67.5563
154,67.5241
155,66.4952
156,63.6013
157,58.4566
158,51.9293
159,49.4331
160,48.6602
161,46.3505
162,43.1029
163,43.0868
164,43.0868
165,43.0868
166,43.0868
167,42.09
168,39.3408
169,35.0804
170,31.7042
171,24.7588
172,22.1526
173,17.5011
174,12.2186
175,8.135
176,3.8746
177,-1.5756
178,-2.8939
179,-2.8939
180,-2.8939
181,-2.8939
182,-4.4373
183,-5.9062
184,-13.9029
185,-18.6174
186,-21.7203
187,-24.8875
188,-24.6823
189,-20.5619
190,-14.2122
191,-5.9646
192,0.52463
193,1.6077
194,3.8907
195,12.2347
196,19.9678
197,23.6495
198,27.9421
199,32.3955
200,36.4469
201,38.328
202,38.5852
203,39.3806
204,43.9289
205,45.3376
206,45.5306
207,45.6431
208,41.6483
209,32.0931
210,27.6849
211,27.5402
212,25.0965
213,23.2154
214,19.0032
215,11.0772
216,5.1608
217,-2.2186
218,-5.4662
219,-7.3633
220,-10.7235
221,-10.9325
222,-8.3601
223,-4.0447
224,3.9657
225,6.1093
226,5.7201
227,3.1389
228,1.5273
229,-2.5402
230,-5.0965
231,-5.7878
232,-5.7878
233,-5.7878
234,-5.7878
235,-5.077
236,-4.8231
237,-4.8231
238,-5.0069
239,-5.4832
240,-5.7878
