Time of Rating,27-Apr-2016 10:06:38
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.53054
2,18.537
3,48.0225
4,77.1865
5,85.2894
6,93.8264
7,99.9196
8,100
9,100
10,100
11,100
12,98.7299
13,81.4469
14,59.4373
15,54.3408
16,57.6992
17,64.2765
18,66.8641
19,66.881
20,66.881
21,66.881
22,66.2701
23,59.0836
24,58.5209
25,60.3858
26,63.5691
27,53.3762
28,46.0573
29,44.9035
30,45.0161
31,45.0161
32,45.0161
33,44.8071
34,43.6656
35,41.8925
36,40.836
37,40.836
38,40.836
39,40.2437
40,40.1929
41,40.1929
42,40.1929
43,40.1929
44,39.7267
45,39.5498
46,39.5498
47,39.5498
48,39.5498
49,39.5498
50,39.5498
51,39.5498
52,39.5498
53,39.5498
54,39.5498
55,39.5498
56,39.5498
57,39.5498
58,39.5498
59,39.5498
60,39.5498
61,39.5498
62,39.5498
63,39.5498
64,39.5498
65,39.5498
66,39.5498
67,39.5498
68,39.5498
69,39.5498
70,39.4694
71,32.6045
72,23.3119
73,15.6431
74,13.8264
75,13.8264
76,13.8264
77,13.8264
78,13.8264
79,13.8264
80,13.8264
81,13.8264
82,13.8264
83,13.8264
84,13.8264
85,13.8264
86,13.7756
87,12.5402
88,12.5402
89,12.5402
90,12.5402
91,12.5402
92,12.8135
93,12.8617
94,12.8617
95,12.8617
96,12.8617
97,12.8617
98,12.8617
99,12.8617
100,12.8617
101,12.8617
102,16.0932
103,27.2127
104,37.5287
105,49.8231
106,54.1318
107,54.0193
108,54.0193
109,54.0193
110,54.0193
111,54.0193
112,54.0193
113,54.0193
114,54.0193
115,57.4116
116,65.8521
117,66.881
118,66.881
119,66.881
120,66.881
121,67.4277
122,69.3408
123,69.4534
124,69.4534
125,69.4534
126,69.4534
127,66.0772
128,51.2219
129,31.5434
130,22.91
131,21.5434
132,21.5434
133,21.5434
134,21.5434
135,20.6752
136,20.5788
137,20.5788
138,20.5788
139,20.5788
140,20.5788
141,20.5788
142,20.5788
143,16.1415
144,10.3537
145,4.8908
146,-7.9773
147,-21.7042
148,-35.1095
149,-45.5746
150,-51.672
151,-54.5499
152,-56.8793
153,-51.5235
154,-34.6624
155,-26.1415
156,-26.045
157,-26.045
158,-26.045
159,-26.045
160,-26.045
161,-26.045
162,-26.045
163,-29.7749
164,-37.1704
165,-37.299
166,-37.299
167,-37.299
168,-37.299
169,-37.299
170,-37.299
171,-29.7005
172,-10.8865
173,-4.7588
174,1.5756
175,1.2862
176,1.2862
177,1.2862
178,1.2862
179,1.2862
180,1.2862
181,1.2862
182,1.2862
183,1.2862
184,1.2862
185,1.2862
186,1.2862
187,1.2862
188,1.2862
189,1.2862
190,1.2862
191,-4.8553
192,-16.8895
193,-22.0793
194,-22.8296
195,-22.8296
196,-22.8296
197,-22.8296
198,-22.8296
199,-22.8296
200,-22.8296
201,-22.8296
202,-22.8296
203,-22.8296
204,-22.8296
205,-22.8296
206,-23.2154
207,-23.4727
208,-28.9389
209,-44.8392
210,-52.4598
211,-52.767
212,-53.7437
213,-62.2669
214,-62.3794
215,-62.3794
216,-62.3794
217,-62.3794
218,-62.3794
219,-62.3794
220,-62.3794
221,-62.3794
222,-68.4084
223,-87.189
224,-98.0554
225,-99.4534
226,-99.3569
227,-99.3569
228,-84.0836
229,-71.238
230,-75.3596
231,-76.5274
232,-76.5274
233,-76.5274
234,-76.5274
235,-76.5274
236,-76.5274
237,-79.2605
238,-83.8585
239,-86.4148
240,-90.4045
