Time of Rating,5/3/2016 12:46
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0
4,0
5,0
6,3.4244
7,5.4984
8,20.7556
9,20.5788
10,19.2926
11,21.9132
12,22.1865
13,21.0865
14,20.2572
15,20.2572
16,20.5627
17,20.5788
18,20.5788
19,20.5788
20,20.5788
21,22.4009
22,28.9389
23,27.2087
24,26.3666
25,26.3666
26,26.3666
27,24.1158
28,25.0804
29,19.3264
30,19.2926
31,17.0579
32,16.3987
33,16.3987
34,16.3987
35,16.3987
36,16.3987
37,16.3987
38,17.5318
39,17.6849
40,18.2514
41,17.8203
42,15.6025
43,16.7524
44,18.8103
45,18.971
46,19.6141
47,19.6141
48,19.6141
49,19.6141
50,19.6141
51,19.6141
52,19.6141
53,19.6141
54,19.6141
55,19.6141
56,19.4212
57,18.6495
58,18.6495
59,18.6495
60,18.6495
61,18.6495
62,18.6495
63,18.6495
64,18.6495
65,18.6495
66,18.6495
67,18.6495
68,22.0946
69,25.0804
70,25.0804
71,25.0804
72,25.0804
73,25.0804
74,26.4952
75,22.9903
76,21.8819
77,20.9003
78,20.9003
79,20.9003
80,17.348
81,14.4187
82,11.5449
83,10.6109
84,10.6109
85,10.2128
86,8.4617
87,10.9325
88,10.9325
89,10.9325
90,11.0129
91,11.254
92,11.254
93,10.7802
94,10.3047
95,12.2863
96,14.1479
97,14.1479
98,14.9095
99,15.7556
100,15.7556
101,16.2219
102,15.9646
103,15.7878
104,24.2926
105,27.5173
106,28.9389
107,28.9389
108,28.9389
109,28.9389
110,28.9389
111,29.791
112,29.7749
113,29.2604
114,29.2604
115,29.2604
116,29.2604
117,30.0322
118,31.5113
119,31.6128
120,32.7974
121,32.7974
122,32.7974
123,32.7974
124,32.7974
125,32.7974
126,31.8159
127,31.4041
128,28.3297
129,18.2361
130,17.6849
131,17.6849
132,14.3776
133,12.2186
134,12.2186
135,12.2186
136,12.2186
137,12.4759
138,13.1833
139,13.1833
140,13.1833
141,13.1833
142,13.1833
143,13.1833
144,13.1833
145,13.1833
146,13.1833
147,13.1833
148,11.499
149,10.6109
150,9.4212
151,9.3247
152,9.3247
153,9.3247
154,9.3247
155,9.3247
156,9.3247
157,9.3247
158,9.3247
159,9.3247
160,9.3247
161,9.3247
162,9.3247
163,10.0694
164,3.9228
165,-2.6183
166,-6.6847
167,-6.7524
168,-6.7524
169,-5.1286
170,5.0965
171,16.7202
172,16.7202
173,16.7202
174,16.7202
175,17.448
176,22.3473
177,38.4474
178,41.1576
179,41.1576
180,41.1576
181,41.1576
182,41.1576
183,41.1576
184,41.1576
185,41.1576
186,41.1576
187,41.1576
188,39.5345
189,39.0836
190,38.3652
191,37.9421
192,37.9421
193,37.9421
194,37.9421
195,37.6359
196,36.9775
197,36.9775
198,36.9775
199,36.9775
200,36.9775
201,36.8929
202,34.6042
203,33.2958
204,31.0882
205,31.8022
206,33.4405
207,33.4405
208,33.4566
209,33.7621
210,33.7621
211,33.762
212,33.7621
213,33.762
214,33.7621
215,33.7621
216,33.7621
217,33.7621
218,33.762
219,33.7621
220,33.7621
221,33.7621
222,33.762
223,32.6527
224,27.3159
225,26.1635
226,24.9579
227,23.5209
228,27.3151
229,27.3312
230,27.2187
231,25.7396
232,25.7235
233,25.7235
234,25.7235
235,25.7235
236,25.7235
237,25.7235
238,26.1675
239,26.3666
240,26.3666
