Time of Rating,26-Apr-2016 10:13:39
Multimedia File,module2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,-0.7954
4,-20.4326
5,-36.3513
6,-48.8143
7,-66.4523
8,-81.1474
9,-92.5586
10,-100
11,-100
12,-100
13,-100
14,-100
15,-100
16,-100
17,-100
18,-100
19,-100
20,-100
21,-100
22,-100
23,-100
24,-100
25,-100
26,-100
27,-100
28,-100
29,-99.8392
30,-88.8746
31,-75.8682
32,-72.9904
33,-72.2554
34,-72.0257
35,-72.0257
36,-71.0129
37,-66.7203
38,-65.8199
39,-59.3569
40,-59.164
41,-59.164
42,-59.164
43,-59.164
44,-59.8579
45,-64.1403
46,-64.3087
47,-64.3087
48,-64.3087
49,-61.5756
50,-57.2347
51,-53.4947
52,-41.6322
53,-30.5788
54,-30.5466
55,-30.5466
56,-30.5466
57,-30.5466
58,-30.5466
59,-30.5466
60,-30.5466
61,-29.7428
62,-26.0772
63,-29.8576
64,-39.3975
65,-45.1007
66,-51.0642
67,-51.447
68,-51.447
69,-51.447
70,-51.447
71,-51.447
72,-51.447
73,-51.447
74,-51.447
75,-51.447
76,-51.447
77,-51.7685
78,-60.6752
79,-66.881
80,-66.881
81,-66.881
82,-66.881
83,-66.881
84,-66.881
85,-66.881
86,-66.881
87,-66.6881
88,-64.4695
89,-59.0514
90,-55.9807
91,-55.9485
92,-55.9485
93,-52.9904
94,-42.1383
95,-37.5402
96,-36.6559
97,-36.6559
98,-36.6559
99,-36.6559
100,-36.6559
101,-36.6559
102,-36.6559
103,-36.6559
104,-36.6559
105,-36.6559
106,-36.6559
107,-36.6559
108,-36.6559
109,-32.2559
110,-21.0611
111,-18.328
112,-19.2926
113,-28.5691
114,-33.8805
115,-35.0483
116,-35.209
117,-35.3698
118,-35.3698
119,-33.1511
120,-30.1125
121,-28.7942
122,-27.9743
123,-27.9743
124,-27.9743
125,-27.9743
126,-27.9743
127,-27.3159
128,-27.0096
129,-23.9014
130,-8.834
131,2.5216
132,12.3258
133,18.9711
134,22.5723
135,23.7942
136,24.1801
137,24.4373
138,24.2004
139,23.1511
140,23.1511
141,23.1511
142,23.1511
143,23.1511
144,23.1511
145,23.1511
146,23.1511
147,23.1511
148,23.1511
149,23.1511
150,21.0696
151,14.2092
152,13.1833
153,13.1833
154,13.1833
155,13.1833
156,13.1833
157,13.1833
158,13.1833
159,13.1833
160,13.1833
161,12.9971
162,8.1917
163,1.3826
164,-4.9035
165,-5.1447
166,-5.1447
167,-5.1447
168,-5.1447
169,-5.1447
170,-5.1447
171,-5.1447
172,-5.1447
173,-5.1447
174,-5.1447
175,-5.1447
176,-5.1447
177,-3.5531
178,0.56269
179,2.5724
180,2.5724
181,2.5724
182,2.5724
183,2.5724
184,3.0547
185,25.4188
186,47.3434
187,55.9147
188,56.2701
189,56.2701
190,56.2701
191,56.2701
192,56.2701
193,56.2701
194,50.5145
195,43.1672
196,41.4791
197,41.4791
198,41.4791
199,41.4791
200,41.4791
201,41.4791
202,41.4791
203,41.4791
204,39.7749
205,33.1994
206,29.2926
207,28.9389
208,28.9389
209,28.9389
210,30.0873
211,37.2347
212,45.4341
213,53.1672
214,65.6913
215,74.4965
216,85.4387
217,97.4277
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,96.463
229,91.7363
230,91.6399
231,91.6399
232,91.6399
233,91.6399
234,91.6399
235,90.17
236,83.7197
237,77.3312
238,72.4276
239,68.9228
240,63.6174
241,62.701
242,62.701
243,62.701
244,62.701
245,62.701
246,62.5148
247,59.8683
248,57.8617
249,54.8147
250,51.4622
251,51.4791
252,64.5498
253,85.3215
254,98.746
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,98.0415
276,98.223
277,100
278,100
279,100
280,100
281,99.1158
282,95.5322
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,99.4077
299,88.1641
300,76.881
301,66.7685
302,62.8939
303,55.3055
304,55.3055
305,54.4593
306,48.844
307,48.553
308,48.553
309,48.553
310,48.553
311,48.553
312,41.9775
313,36.1254
314,33.4244
315,28.6681
316,27.7599
317,35.8521
318,36.3344
319,36.3344
320,36.3344
321,36.3666
322,42.3253
323,42.4437
324,42.4437
325,42.4437
326,42.4437
327,42.1375
328,36.3022
329,34.4051
330,34.4052
331,34.4052
332,34.4052
333,34.4052
334,34.4052
335,34.4051
336,34.4051
337,34.4052
338,34.4051
339,34.4052
340,34.4052
341,34.4052
342,37.0257
343,45.0161
344,45.0161
345,45.0161
346,45.1447
347,46.8167
348,47.9582
349,48.2315
350,48.2315
351,48.5224
352,49.89
353,61.6904
354,67.1222
355,67.2026
356,67.2026
357,67.2026
358,67.2026
359,67.2026
360,60.1286
361,51.8167
362,51.7685
363,51.7685
364,51.7685
365,51.7685
366,51.7685
367,51.7685
368,51.7685
369,51.7685
370,51.7685
371,49.4212
372,41.6077
373,43.9668
374,46.3022
375,46.3022
376,46.3022
377,46.3022
378,46.3022
379,46.3022
380,46.0992
381,38.1175
382,31.3759
383,30.5466
384,30.5466
385,30.5466
386,30.5466
387,30.5466
388,30.5466
389,29.9839
390,38.1672
391,45.5949
392,45.9646
393,45.9807
394,45.9807
395,45.9807
396,45.9807
397,45.9807
398,45.9807
399,45.9807
400,45.9807
401,45.9807
402,45.9807
403,46.1644
404,46.6238
405,46.6238
406,46.6238
407,46.6238
408,46.6238
409,46.6238
410,46.6238
411,46.6238
412,46.6238
413,46.6238
414,46.6238
415,46.6238
416,46.6238
417,46.6238
418,46.6238
419,46.6238
420,46.6238
421,46.6238
422,46.6238
423,46.3192
424,37.8656
425,32.1704
426,31.5113
427,31.5113
428,31.5113
429,31.5113
430,31.5113
431,31.5113
432,31.5113
433,31.5113
434,31.5113
435,31.5113
436,31.5113
437,31.5113
438,31.3344
439,31.1897
440,31.5989
441,32.4759
442,32.4759
443,34.9564
444,35.6913
445,38.8302
446,40.836
447,40.836
448,40.836
449,40.836
