Time of Rating,26-Apr-2016 10:03:18
Multimedia File,module2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.20351
2,27.3481
3,23.6977
4,-4.7619e-06
5,-0.32155
6,7.91
7,18.4727
8,44.6624
9,68.7781
10,85.5305
11,99.9357
12,100
13,100
14,100
15,100
16,100
17,100
18,100
19,100
20,100
21,100
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100
31,100
32,100
33,100
34,100
35,100
36,100
37,100
38,99.7428
39,92.6045
40,85.4629
41,85.209
42,83.9397
43,82.8778
44,82.1865
45,81.9936
46,81.9936
47,81.9936
48,81.9936
49,81.9936
50,81.4952
51,76.6077
52,72.1704
53,65.8199
54,64.9518
55,64.9518
56,66.3505
57,71.6559
58,73.955
59,73.955
60,73.955
61,73.955
62,75.7005
63,81.2659
64,82.6366
65,82.6366
66,82.6366
67,82.6366
68,83.1511
69,86.2808
70,87.9844
71,88.1029
72,88.1029
73,88.1029
74,88.1029
75,88.1029
76,85.836
77,75.0161
78,60.418
79,45.7556
80,40.5145
81,40.5145
82,40.5145
83,40.0482
84,34.7267
85,31.0978
86,30.8682
87,30.8682
88,30.8682
89,30.8843
90,37.8617
91,44.6785
92,54.3408
93,57.2347
94,57.2347
95,57.2347
96,57.2347
97,57.2347
98,57.2347
99,57.2347
100,57.2347
101,56.9614
102,46.6559
103,34.1318
104,23.6495
105,20.5466
106,11.4224
107,3.2154
108,3.2154
109,5.5734
110,8.6817
111,5.8039
112,-15.8199
113,-29.582
114,-33.3119
115,-33.4405
116,-33.4405
117,-33.4405
118,-33.4405
119,-33.4405
120,-33.4405
121,-33.4405
122,-33.4405
123,-33.4405
124,-33.4405
125,-40.9325
126,-45.6431
127,-45.9807
128,-45.9807
129,-45.9807
130,-45.9807
131,-45.9807
132,-45.9807
133,-45.9807
134,-49.0736
135,-57.0824
136,-57.2347
137,-57.2347
138,-57.2347
139,-57.2347
140,-57.2347
141,-57.2347
142,-57.2347
143,-57.2347
144,-57.2347
145,-57.184
146,-53.0547
147,-44.8299
148,-33.8585
149,-20.3216
150,-13.2315
151,-2.6206
152,5.9486
153,12.4636
154,19.6141
155,25.4984
156,36.672
157,44.3087
158,44.373
159,44.373
160,44.373
161,44.373
162,44.373
163,44.373
164,44.373
165,43.3745
166,35.477
167,31.045
168,25.605
169,24.7588
170,23.1672
171,16.3022
172,9.7267
173,5.9807
174,2.2814
175,1.4723
176,0.36977
177,-3.6656
178,-10.8843
179,-11.254
180,-11.7956
181,-11.8971
182,-12.0097
183,-14.8714
184,-22.1406
185,-38.2129
186,-59.5659
187,-68.2315
188,-70.0965
189,-70.0965
190,-69.8595
191,-63.4053
192,-58.5209
193,-58.1511
194,-55
195,-54.9839
196,-54.9839
197,-54.9839
198,-54.9839
199,-53.9178
200,-46.6881
201,-40.9738
202,-27.6358
203,-19.951
204,-10.6786
205,-12.5402
206,-26.5595
207,-30.5305
208,-30.5466
209,-30.5466
210,-30.5466
211,-30.5466
212,-30.5466
213,-30.5466
214,-30.7328
215,-33.9711
216,-25.9164
217,-8.2154
218,2.4598
219,16.2862
220,23.7942
221,23.7942
222,23.7942
223,23.7942
224,23.7942
225,23.7942
226,23.7942
227,23.7942
228,23.7942
229,23.7942
230,23.7942
231,23.7942
232,23.7942
233,23.845
234,30.5145
235,38.0225
236,42.5563
237,45.3376
238,45.3376
239,45.3376
240,45.3376
241,45.3376
242,45.3376
243,45.3376
244,38.2797
245,20.836
246,10.209
247,6.254
248,5.7878
249,5.7878
250,5.7878
251,9.373
252,12.3633
253,10.5305
254,2.492
255,2.2508
256,8.2247
257,18.7108
258,22.1865
259,22.1865
260,22.1865
261,22.1865
262,22.1865
263,22.1865
264,22.1865
265,22.1865
266,22.1865
267,22.1865
268,22.1865
269,22.1865
270,5.3537
271,-24.3248
272,-40.7235
273,-48.5691
274,-56.3826
275,-70.4341
276,-92.4437
277,-100
278,-100
279,-100
280,-100
281,-94.9625
282,-91.5214
283,-91.3183
284,-90.4722
285,-93.6013
286,-95.82
287,-95.82
288,-98.7751
289,-99.1877
290,-92.1605
291,-88.8814
292,-88.1029
293,-88.1029
294,-88.1029
295,-87.6895
296,-86.1229
297,-73.119
298,-55.7235
299,-38.6174
300,-35.2733
301,-21.7685
302,-20.2572
303,-17.7018
304,-8.4888
305,-6.7524
306,-6.7524
307,-6.7524
308,-6.7524
309,-6.7524
310,-6.7524
311,-6.7524
312,-6.5917
313,-4.8232
314,-3.537
315,-3.537
316,-3.537
317,-3.537
318,-3.537
319,-3.537
320,-3.537
321,-3.537
322,-3.537
323,-3.537
324,-3.537
325,-0.01608
326,10.5145
327,11.254
328,11.254
329,9.9848
330,0.88808
331,0.32155
332,0.32155
333,0.32155
334,0.32155
335,0.32155
336,0.32155
337,0.32155
338,0.32155
339,0.32155
340,0.32155
341,0.32155
342,0.32155
343,0.32155
344,0.32155
345,0.32155
346,0.32155
347,0.32155
348,0.32155
349,0.32155
350,0.32155
351,0.32155
352,0.32155
353,0.32155
354,0.32155
355,0.32155
356,7.926
357,14.1961
358,14.4694
359,10.9003
360,-11.2701
361,-14.791
362,-14.791
363,-14.791
364,-14.791
365,-14.791
366,-14.791
367,-14.791
368,-15.836
369,-17.0418
370,-17.0418
371,-17.0418
372,-17.0418
373,-17.0418
374,-17.0418
375,-17.0418
376,-17.0418
377,-17.0418
378,-17.0418
379,-17.0418
380,-17.0418
381,-17.0418
382,-17.0418
383,-17.0418
384,-17.0418
385,-17.0418
386,-17.0418
387,-17.0418
388,-17.0418
389,-17.0418
390,-24.7081
391,-35.4823
392,-37.2669
393,-37.299
394,-37.299
395,-37.299
396,-37.299
397,-37.299
398,-25.3537
399,-0.15312
400,10.3063
401,13.1833
402,13.1833
403,13.1833
404,13.1833
405,13.1833
406,13.1833
407,13.1833
408,13.1833
409,13.1833
410,13.1833
411,14.7749
412,17.4277
413,22.0946
414,22.508
415,22.508
416,23.5691
417,29.4695
418,33.1511
419,33.4405
420,33.4405
421,33.4405
422,33.4083
423,30.1768
424,19.6302
425,13.5209
426,11.8971
427,11.8971
428,11.8971
429,11.8971
