Time of Rating,27-Apr-2016 09:41:31
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.64307
2,-0.65917
3,-6.2955
4,-15.8433
5,-28.4989
6,-37.2144
7,-42.6428
8,-44.1022
9,-49.334
10,-55.7878
11,-63.0707
12,-69.7267
13,-75.209
14,-76.2219
15,-78.4058
16,-80.3859
17,-80.3859
18,-80.3859
19,-80.3859
20,-80.3859
21,-81.8558
22,-82.9582
23,-81.9783
24,-79.8392
25,-79.0997
26,-79.0997
27,-79.0997
28,-78.8585
29,-78.7782
30,-78.7782
31,-78.7782
32,-78.7782
33,-78.7782
34,-78.7782
35,-78.7782
36,-78.7782
37,-78.7782
38,-78.7782
39,-78.7782
40,-78.7782
41,-78.7782
42,-78.2637
43,-77.8812
44,-78.3762
45,-78.6403
46,-78.9812
47,-79.6815
48,-81.0611
49,-81.672
50,-81.672
51,-81.672
52,-81.672
53,-81.672
54,-81.672
55,-81.672
56,-81.672
57,-81.672
58,-81.672
59,-81.672
60,-79.0354
61,-70.6109
62,-63.3601
63,-56.9132
64,-49.6142
65,-41.4283
66,-36.1201
67,-36.0129
68,-32.8127
69,-25.0482
70,-21.9326
71,-24.9732
72,-32.0697
73,-40.3859
74,-46.0726
75,-52.2669
76,-57.7171
77,-58.7748
78,-60.6492
79,-60.7717
80,-60.7717
81,-60.7717
82,-60.7717
83,-60.7717
84,-60.7717
85,-60.7717
86,-60.7717
87,-60.7717
88,-60.7717
89,-60.7717
90,-60.7717
91,-60.7717
92,-60.7717
93,-60.7717
94,-60.7717
95,-62.3151
96,-64.8875
97,-67.1383
98,-67.8456
99,-67.8456
100,-63.8687
101,-54.249
102,-45.4899
103,-37.8503
104,-37.8617
105,-43.4887
106,-48.2154
107,-48.8746
108,-47.4277
109,-44.8807
110,-44.373
111,-44.373
112,-44.373
113,-44.373
114,-44.373
115,-44.3569
116,-36.6898
117,-24.4832
118,-23.0834
119,-27.6527
120,-32.9904
121,-38.9068
122,-43.537
123,-48.13
124,-53.2843
125,-58.5886
126,-62.3488
127,-66.0289
128,-61.4825
129,-49.3952
130,-38.4498
131,-23.2277
132,-9.7428
133,-6.1093
134,-6.1093
135,-6.4478
136,-8.6357
137,-7.277
138,6.6759
139,20.2412
140,29.1318
141,32.6206
142,32.0359
143,28.4183
144,25.5373
145,24.8966
146,24.7588
147,25.6622
148,28.5048
149,30.836
150,32.1543
151,37.3312
152,41.3826
153,39.8232
154,39.2283
