Time of Rating,5/3/2016 13:27
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,16.8067
2,16.8067
3,16.8067
4,16.8067
5,16.8067
6,16.8067
7,16.8067
8,16.3305
9,15.5796
10,18.2073
11,18.2073
12,18.2073
13,20.5366
14,21.0084
15,19.6668
16,20.014
17,23.8095
18,23.8095
19,23.1933
20,21.7227
21,22.0221
22,29.0874
23,28.2913
24,27.507
25,26.5812
26,26.3305
27,26.3748
28,27.451
29,27.451
30,27.451
31,27.451
32,27.451
33,27.451
34,27.3773
35,23.5561
36,16.158
37,12.3516
38,7.8579
39,-1.7927
40,-14.7479
41,-21.9328
42,-21.2885
43,-18.3252
44,-18.7395
45,-25.4368
46,-31.1072
47,-32.7731
48,-32.7731
49,-33.3467
50,-33.8936
51,-33.8936
52,-33.8936
53,-32.9272
54,-35.1207
55,-35.5743
56,-35.5743
57,-37.5055
58,-39.2157
59,-39.2157
60,-35.9944
61,-30.0253
62,-23.9717
63,-19.8613
64,-19.0476
65,-19.0476
66,-19.0476
67,-19.0476
68,-18.7008
69,-17.3669
70,-17.3669
71,-17.3669
72,-16.6298
73,-17.9805
74,-18.2073
75,-18.2073
76,-18.2073
77,-17.8011
78,-15.9664
79,-15.9664
80,-15.9664
81,-15.9664
82,-15.9664
83,-15.9664
84,-15.9664
85,-15.9664
86,-15.9664
87,-15.9664
88,-15.7423
89,-17.591
90,-20.1681
91,-20.4622
92,-22.5157
93,-23.2493
94,-23.2493
95,-23.5994
96,-23.8095
97,-23.8095
98,-23.8095
99,-23.8095
100,-23.8095
101,-23.8095
102,-23.8095
103,-23.8095
104,-23.8095
105,-23.8095
106,-23.8095
107,-23.8095
108,-23.8095
109,-23.8095
110,-23.8095
111,-23.8095
112,-23.8095
113,-23.8095
114,-23.8095
115,-23.8095
116,-22.3942
117,-18.9496
118,-17.9272
119,-17.9272
120,-17.1935
121,-13.6075
122,-18.1406
123,-18.2073
124,-18.2073
125,-18.9636
126,-20.1681
127,-20.1681
128,-20.0796
129,-19.7146
130,-19.6078
131,-19.6078
132,-19.6078
133,-19.6078
134,-19.6078
135,-19.6078
136,-19.6078
137,-19.6078
138,-19.6078
139,-19.6078
140,-19.6078
141,-19.7813
142,-20.1681
143,-20.1681
144,-20.1681
145,-20.1681
146,-20.1681
147,-20.1681
148,-20.1681
149,-18.9592
150,-18.4874
151,-18.4874
152,-18.4874
153,-18.2633
154,-11.3726
155,-7.2963
156,-7.2829
157,-7.2829
158,-7.2829
159,-7.2829
160,-7.2829
161,-8.0495
162,-10.0841
163,-10.0841
164,-10.0841
165,-7.7031
166,-2.353
167,3.7882
168,11.0865
169,6.7093
170,-2.9928
171,-13.0952
172,-19.3277
173,-19.3277
174,-19.3277
175,-19.4604
176,-20.8544
177,-23.7675
178,-29.2857
179,-31.8794
180,-31.9917
181,-34.874
182,-38.3473
183,-38.7115
184,-39.2157
185,-39.2157
186,-39.3224
187,-39.4221
188,-35.5742
189,-33.9378
190,-35.2381
191,-35.2941
192,-35.2941
193,-35.2941
194,-35.2941
195,-33.0399
196,-28.026
197,-17.563
198,-13.2186
199,-6.6048
200,-6.4426
201,-6.4426
202,-3.5574
203,5.8823
204,11.7647
205,11.7647
206,12.563
207,12.8852
208,12.8852
209,12.8852
210,12.8852
211,12.8852
212,12.7031
213,2.7871
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
