Time of Rating,5/3/2016 13:44
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-9.3104
2,-5.8824
3,-5.8684
4,-2.521
5,6.1625
6,14.7619
7,18.4874
8,18.4474
9,18.2073
10,18.2073
11,18.2073
12,18.2073
13,18.2073
14,18.2073
15,13.1933
16,-0.17692
17,-1.2405
18,2.8851
19,4.0896
20,5.8824
21,5.8824
22,6.0291
23,9.3978
24,9.8039
25,7.1288
26,6.7669
27,7.563
28,7.563
29,7.563
30,7.563
31,7.563
32,7.577
33,8.7424
34,11.1244
35,11.175
36,9.6305
37,9.5238
38,9.5238
39,7.1148
40,-2.6191
41,-4.2017
42,-4.2017
43,-2.1569
44,1.3416
45,13.2073
46,18.2073
47,18.2073
48,18.2073
49,23.1793
50,24.6499
51,24.6499
52,25.3781
53,34.0196
54,42.8719
55,42.4303
56,40.3361
57,39.4825
58,40.5882
59,43.152
60,43.4173
61,40.2661
62,29.6639
63,19.6078
64,19.6078
65,19.6078
66,23.3473
67,17.9132
68,10.8507
69,9.2437
70,9.2437
71,9.2437
72,9.2437
73,9.2437
74,9.2437
75,9.2437
76,9.2437
77,9.2437
78,9.2437
79,9.2437
80,9.2437
81,9.2437
82,9.3174
83,9.8039
84,9.8039
85,9.8039
86,9.8039
87,12.6198
88,13.232
89,10.7563
90,10.3641
91,10.3641
92,10.1577
93,4.5085
94,-6.7817
95,-14.139
96,-15.1261
97,-15.1261
98,-15.5042
99,-16.5266
100,-18.9142
101,-22.451
102,-28.6695
103,-30.2521
104,-30.2521
105,-30.2521
106,-30.488
107,-31.4793
108,-29.8739
109,-29.3557
110,-28.5014
111,-26.6527
112,-27.0588
113,-28.6599
114,-27.1976
115,-21.775
116,-21.2885
117,-22.0308
118,-22.9692
119,-25.6723
120,-29.0476
121,-29.972
122,-29.972
123,-30.2788
124,-31.8488
125,-31.0084
126,-27.1849
127,-26.0504
128,-24.9833
129,-20.5882
130,-20.1681
131,-17.0028
132,-12.8852
133,-12.3249
134,-12.3249
135,-12.6331
136,-12.8852
137,-13.3753
138,-17.2129
139,-21.436
140,-21.8487
141,-22.0551
142,-24.8366
143,-24.3558
144,-25.1961
145,-23.9496
146,-23.5294
147,-23.236
148,-22.6891
149,-21.6247
150,-16.0504
151,-10.6022
152,-10.0841
153,-10.0841
154,-10.0841
155,-10.0841
156,-10.0841
157,-9.4258
158,-7.451
159,-9.0196
160,-7.1429
161,-6.7227
162,-6.7227
163,-6.7227
164,-4.7759
165,-6.2214
166,-14.9393
167,-19.7479
168,-18.2493
169,-18.7085
170,-14.099
171,-4.3137
172,6.133
173,7.8431
174,16.4529
175,29.0383
176,35.4902
177,41.2325
178,38.0532
179,34.4678
180,34.6639
181,37.4171
182,39.6425
183,40.3501
184,42.0588
185,42.8011
186,39.5105
187,39.4958
188,39.142
189,38.6554
190,38.6554
191,38.6554
192,38.6554
193,38.6554
194,38.6554
195,36.3866
196,33.8936
197,32.619
198,23.0282
199,3.6948
200,-0.014743
201,1.4806
202,8.8095
203,10.07
204,12.1849
205,10.6885
206,9.8973
207,17.1429
208,19.6078
209,20.0501
210,22.3156
211,6.7647
212,-0.28012
213,-0.28012
214,-0.28012
215,-0.28012
216,-0.28012
217,-0.28012
218,-0.28012
219,-0.28012
220,-0.28012
221,-0.28012
222,-0.28012
223,-0.28012
224,-0.28012
225,-0.28012
226,-0.28012
227,-0.28012
228,-0.28012
229,-0.28012
230,-0.28012
231,-0.28012
232,-0.28012
233,-0.28012
234,-0.28012
235,-0.28012
236,-0.28012
237,-0.28012
238,-0.28012
239,-0.28012
240,-0.28012
