Time of Rating,28-Apr-2016 12:50:08
Multimedia File,end_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0.080385
2,2.1589
3,3.9067
4,9.0878
5,13.367
6,18.7341
7,25.1768
8,28.0661
9,25.836
10,22.2186
11,13.3694
12,5.5887
13,-0.23693
14,-5.1447
15,-1.9775
16,3.537
17,8.0386
18,3.9601
19,-1.0565
20,-5.5949
21,-10.4586
22,-17.1184
23,-21.9327
24,-24.1464
25,-24.7927
26,-28.1427
27,-29.582
28,-30.2082
29,-33.7468
30,-35.2412
31,-32.3067
32,-28.6633
33,-23.4084
34,-17.211
35,-10.3813
36,-5.2632
37,1.5618
38,7.1247
39,11.8489
40,18.9557
41,27.6045
42,31.1897
43,39.4314
44,47.175
45,55.627
46,57.2347
47,57.299
48,59.2994
49,63.589
50,64.2283
51,67.4733
52,70.4333
53,73.7621
54,76.9614
55,78.9304
56,79.0997
57,79.0997
58,78.9304
59,76.2364
60,73.3762
61,71.0289
62,67.1543
63,65.341
64,62.1038
65,56.287
66,48.8899
67,42.0206
68,36.7685
69,30.3016
70,25.3173
71,19.9816
72,13.6817
73,9.6463
74,4.6201
75,-0.61094
76,-4.9457
77,-8.157
78,-11.4378
79,-13.4371
80,-14.8216
81,-17.8541
82,-22.6527
83,-26.6116
84,-27.4158
85,-27.2546
86,-25.825
87,-23.3655
88,-20.5949
89,-18.9203
90,-15.4953
91,-12.8618
92,-12.8618
93,-11.3459
94,-4.8071
95,-3.537
96,-5.5734
97,-10.8479
98,-14.2857
99,-17.9726
100,-18.8945
101,-18.9711
102,-18.9711
103,-19.8285
104,-21.4791
105,-21.0611
106,-23.5209
107,-27.7712
108,-29.582
109,-29.582
110,-28.3571
111,-26.6881
112,-26.8489
113,-29.9954
114,-34.0328
115,-35.3698
116,-35.4502
117,-38.7781
118,-41.1576
119,-44.1361
120,-44.6945
121,-44.6945
122,-44.6945
123,-44.6945
124,-44.582
125,-44.373
126,-44.373
127,-44.2811
128,-43.0868
129,-43.0868
130,-43.0868
131,-43.0868
132,-42.7991
133,-41.1576
134,-40.5145
135,-40.7683
136,-42.3519
137,-43.6174
138,-44.6945
139,-45.7663
140,-46.353
141,-46.8229
142,-47.5377
143,-47.91
144,-46.9792
145,-42.717
146,-38.5546
147,-35.9807
148,-34.4052
149,-31.3505
150,-30.5949
151,-34.4052
152,-37.701
153,-41.1116
154,-44.373
155,-45.5214
156,-48.1469
157,-48.553
158,-48.4306
159,-47.7171
160,-45.3216
161,-44.0515
162,-44.1893
163,-48.8915
164,-52.9322
165,-56.656
166,-62.1594
167,-64.2934
168,-61.0594
169,-53.2997
170,-45.0161
171,-39.956
172,-32.4606
173,-24.8096
174,-14.7298
175,-6.0247
176,0.75026
177,11.0932
178,16.551
179,22.2324
180,30.2251
181,35.6236
182,41.28
183,44.9678
184,49.01
185,52.2125
186,56.507
187,59.6999
188,61.656
189,63.4244
190,63.6656
191,64.0515
192,65.8398
193,63.9228
194,52.2508
195,39.1267
196,30.7556
197,21.3826
198,12.1115
199,19.0193
200,27.805
201,34.4051
202,42.5884
203,48.0547
204,55.2894
205,59.4178
206,60.2894
207,62.9153
208,65.1041
209,56.5457
210,47.3151
211,38.6013
212,31.1389
213,26.7203
214,24.0392
215,20.5449
216,14.4082
217,5.957
218,-0.080388
219,-6.3084
220,-14.6048
221,-20.8697
222,-25.4358
223,-30.7457
224,-37.739
225,-45.3055
226,-48.1396
227,-52.2762
228,-57.1429
229,-64.8841
230,-72.5923
231,-79.0151
232,-82.7492
233,-85.5152
234,-86.8167
235,-84.5047
236,-80.9951
237,-75.9608
238,-70.1608
239,-65.1549
240,-56.7881
