Time of Rating,21-May-2016 11:23:07
Multimedia File,mid_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-2.3179
2,-2.3179
3,-2.3179
4,-1.0091
5,9.1669
6,12.2516
7,12.2516
8,12.2516
9,13.7811
10,14.2384
11,14.2384
12,14.2384
13,14.2384
14,14.2384
15,14.2384
16,13.7181
17,13.245
18,13.7654
19,15.298
20,18.1945
21,20.1198
22,22.4817
23,24.8975
24,26.5397
25,28.0464
26,29.9756
27,34.7848
28,38.2687
29,40.0139
30,40.0662
31,40.3311
32,40.3973
33,40.3973
34,40.3973
35,40.3973
36,40.4496
37,41.3907
38,41.3907
39,41.3907
40,41.3907
41,41.3907
42,41.7849
43,42.8146
44,43.0463
45,43.0463
46,43.0463
47,43.0463
48,41.6173
49,40.5077
50,38.9857
51,37.1176
52,34.9669
53,36.7375
54,38.6787
55,40.5716
56,42.5891
57,43.4472
58,44.6389
59,44.702
60,44.702
61,44.702
62,44.702
63,44.702
64,44.702
65,44.702
66,44.702
67,44.702
68,44.702
69,44.702
70,44.702
71,44.702
72,44.702
73,44.702
74,45.1725
75,46.0265
76,46.0265
77,46.0265
78,45.9437
79,45.6953
80,45.2854
81,43.5169
82,42.9833
83,48.3444
84,52.8146
85,55.8383
86,57.5331
87,59.3977
88,64.8309
89,68.0069
90,69.7185
91,70.1987
92,67.5322
93,54.5364
94,50.1892
95,53.9212
96,56.8906
97,58.5396
98,58.9404
99,58.9404
100,58.8245
101,57.6325
102,56.9188
103,55.9918
104,55.2632
105,55.4242
106,56.0596
107,55.0192
108,53.532
109,52.2307
110,51.3403
111,50.6274
112,50.298
113,50
114,49.8606
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,49.9826
124,48.3601
125,47.0861
126,46.3576
127,46.5784
128,48.6589
129,51.9371
130,53.7748
131,49.7351
132,50.6448
133,52.8808
134,54.3519
135,55.2283
136,52.9013
137,54.6689
138,55.5629
139,56.8709
140,61.4848
141,61.9205
142,61.9205
143,61.6525
144,61.5894
145,60.5795
146,58.3255
147,59.2715
148,59.3819
149,57.9801
150,59.9503
151,61.0666
152,61.2583
153,60.6749
154,58.2781
155,58.9089
156,60.8923
157,61.9205
158,61.1921
159,60.4043
160,61.4317
161,61.5023
162,60.2334
163,60.0035
164,60.596
165,60.0993
166,54.5312
167,43.4563
168,39.1426
169,38.8994
170,37.8878
171,33.5225
172,35.2318
173,37.0164
174,38.2372
175,38.8637
176,38.4264
177,35.7119
178,33.5596
179,30.6126
180,29.6096
181,31.7408
182,37.1907
183,39.0728
184,22.053
185,1.3942
186,-5.8184
187,-7.6159
188,-7.2059
189,-1.2748
190,-0.2649
191,-0.17428
192,-0.11589
193,2.7751
194,3.3113
195,3.3113
196,4.7185
197,5.4967
198,5.298
199,5.298
200,5.503
201,8.9927
202,15.3422
203,18.8742
204,21.5066
205,21.5232
206,21.5232
207,21.5232
208,21.5232
209,21.5232
210,21.5232
211,22.012
212,23.2616
213,24.7996
214,24.7556
215,25.1656
216,26.5689
217,24.817
218,22.3344
219,20.9713
220,20.4775
221,23.4153
222,24.8344
223,21.9647
224,-2.1027
225,-13.8376
226,-8.1835
227,3.9909
228,8.2151
229,7.8773
230,1.9552
231,6.1258
232,13.0359
233,19.6468
234,23.8236
235,22.2327
236,10.2318
237,3.5762
238,-0.24399
239,3.5099
240,12.3736
