Time of Rating,5/3/2016 13:17
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0
4,-0.34681
5,-9.6565
6,-18.1673
7,-18.4874
8,-18.4874
9,-18.4874
10,-18.4874
11,-18.4874
12,-18.4874
13,-18.4874
14,-18.4874
15,-18.4874
16,-18.2633
17,-17.1849
18,-17.9272
19,-17.9272
20,-17.9272
21,-17.9272
22,-17.9272
23,-17.9272
24,-17.249
25,-16.8067
26,-16.8067
27,-16.8067
28,-16.4529
29,-15.8544
30,-16.8067
31,-16.8067
32,-15.3795
33,-15.1261
34,-15.1261
35,-15.1261
36,-14.6725
37,-15.3922
38,-15.1703
39,-14.846
40,-15.1113
41,-15.4062
42,-15.2594
43,-14.5658
44,-15.4195
45,-15.6863
46,-15.6863
47,-15.6863
48,-14.7619
49,-13.9789
50,-9.4943
51,-5.0687
52,-4.7619
53,-4.7619
54,-4.7619
55,-2.591
56,-0.56023
57,-0.56023
58,3.2413
59,4.2017
60,4.2017
61,3.8936
62,-0.17692
63,-1.6247
64,-2.8011
65,-4.4678
66,1.2826
67,6.7227
68,8.6687
69,11.2325
70,11.7647
71,11.7647
72,11.7647
73,11.7647
74,11.7647
75,11.7647
76,11.7647
77,11.7647
78,11.7647
79,11.7647
80,11.7647
81,12.563
82,12.8852
83,13.0915
84,13.7255
85,13.7255
86,13.6588
87,12.8852
88,12.7031
89,9.1503
90,4.1722
91,-1.8407
92,-4.7619
93,-5.0287
94,-9.3322
95,-10.3641
96,-10.3641
97,-10.3641
98,-10.3641
99,-10.3052
100,-6.4826
101,-5.8824
102,-5.8824
103,-2.8151
104,1.4146
105,1.7074
106,7.8136
107,12.7171
108,14.5391
109,14.5953
110,16.4199
111,16.5266
112,16.5266
113,16.5266
114,16.5266
115,16.5266
116,16.5266
117,16.5266
118,16.5266
119,16.5266
120,16.5266
121,16.5266
122,16.5266
123,16.7927
124,28.8916
125,37.9625
126,36.3078
127,35.0435
128,30.5042
129,24.2097
130,13.7697
131,9.257
132,9.2437
133,17.1268
134,24.3698
135,25.5602
136,26.8908
137,26.8908
138,26.9841
139,31.7853
140,34.6359
141,30.042
142,24.874
143,16.9401
144,15.303
145,6.9628
146,3.7004
147,5.3221
148,8.8375
149,9.8039
150,8.3767
151,9.7155
152,19.0343
153,20.7283
154,20.6582
155,19.928
156,19.8879
157,19.8346
158,18.797
159,18.9676
160,20.7283
161,20.1681
162,20.1401
163,15.8543
164,14.0056
165,14.0056
166,14.4591
167,15.7703
168,16.5266
169,16.5266
170,16.1433
171,12.605
172,15.9369
173,9.0476
174,7.8431
175,7.8431
176,7.8298
177,6.3099
178,5.6022
179,5.6022
180,5.6022
181,6.0784
182,7.0028
183,7.0028
184,7.1355
185,8.4033
186,8.4034
187,9.0196
188,12.6184
189,14.8459
190,13.8855
191,13.7255
192,13.7255
193,13.7255
194,13.7255
195,13.7255
196,13.6812
197,14.4058
198,18.4874
199,18.4874
200,18.4874
201,18.4874
202,18.4874
203,18.3695
204,17.647
205,17.647
206,17.647
207,17.6337
208,15.9222
209,15.6863
210,15.6863
211,15.6863
212,15.6863
213,13.1653
214,0.13338
215,-7.5041
216,-7.8698
217,-9.6418
218,-13.6321
219,-14.0056
220,-13.6555
221,-17.0868
222,-17.9272
223,-17.9272
224,-18.2368
225,-18.3807
226,-17.6471
227,-17.0721
228,-17.407
229,-17.0868
230,-16.8067
231,-16.8067
232,-16.8067
233,-16.8067
234,-16.8067
235,-16.8067
236,-16.8067
237,-16.8067
238,-16.8067
239,-16.0364
240,-15.9664
