Time of Rating,03-May-2016 13:26:59
Multimedia File,all_vocal_2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,-0.67227
4,9.2297
5,14.0896
6,13.7955
7,13.1653
8,13.8876
9,12.6584
10,12.6051
11,12.6051
12,12.6051
13,12.6051
14,11.8181
15,11.1485
16,11.7647
17,11.7647
18,11.7647
19,11.7647
20,11.7647
21,11.7647
22,11.9121
23,12.3249
24,11.4846
25,11.4846
26,11.0924
27,10.5602
28,11.4846
29,11.5266
30,13.5014
31,16.4006
32,14.212
33,14.0056
34,14.0056
35,14.0056
36,14.0056
37,14.0056
38,14.0056
39,14.2717
40,14.5658
41,14.5658
42,14.5658
43,14.5658
44,14.5098
45,14.0056
46,14.0056
47,14.0056
48,14.0056
49,14.0056
50,13.9916
51,13.7395
52,14.2717
53,14.2857
54,14.2857
55,14.2857
56,14.2857
57,14.2857
58,14.2857
59,14.2857
60,14.2857
61,14.4398
62,15.9384
63,16.4706
64,17.647
65,16.0696
66,14.2857
67,14.2857
68,13.272
69,13.2633
70,15.1261
71,15.1261
72,15.1998
73,15.0727
74,14.0056
75,17.1802
76,23.6415
77,24.4118
78,24.986
79,23.5294
80,23.5294
81,25.5049
82,30.839
83,26.3445
84,26.0504
85,26.0504
86,26.0504
87,26.0504
88,25.7843
89,25.4902
