Time of Rating,03-May-2016 14:08:18
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,2.423
4,11.1308
5,9.8459
6,8.7102
7,9.0963
8,12.2982
9,12.4134
10,13.2913
11,11.4979
12,6.2067
13,-3.5748
14,-6.1485
15,-6.1625
16,-6.2214
17,-11.3379
18,-13.1653
19,-8.6392
20,-4.9887
21,-1.6807
22,-6.2158
23,-10.084
24,-12.3249
25,-16.6467
26,-18.2073
27,-18.1673
28,-17.2829
29,-19.3698
30,-19.888
31,-19.888
32,-18.3674
33,-12.2217
34,-10.9244
35,-2.8572
36,4.0196
37,4.2017
38,4.2017
39,4.8419
40,6.3099
41,5.6022
42,5.8403
43,3.7815
44,1.6807
45,3.1255
46,3.8149
47,3.1549
48,1.3472
49,-2.7171
50,-6.7367
51,-9.4398
52,-12.1775
53,-12.3249
54,-12.3249
55,-12.3249
56,-12.3249
57,-12.395
58,-13.1653
59,-13.1653
60,-13.8722
61,-11.9188
62,-11.6947
63,-11.7647
64,-12.3249
65,-15.6596
66,-15.9664
67,-15.9664
68,-15.9664
69,-14.2057
70,-10.7143
71,-12.3692
72,-12.8852
73,-12.8852
74,-12.8852
75,-13.239
76,-14.2324
77,-11.2605
78,-7.6957
79,-2.7878
80,-1.4006
81,-1.4006
82,-1.2384
83,4.1176
84,4.8553
85,3.6415
86,3.6415
87,5.2337
88,10.3375
89,11.2045
90,10.8801
91,9.5371
92,9.5975
93,9.8039
94,9.8039
95,9.8039
96,9.8039
97,10.5116
98,10.6443
99,10.6443
100,10.6443
101,10.6443
102,10.5462
103,10.3641
104,11.1602
105,11.2045
106,11.2045
107,11.0711
108,9.8739
109,9.8039
110,9.8039
111,9.8039
112,9.8039
113,9.8039
114,9.8039
115,9.8039
116,9.8039
117,9.8039
118,9.8039
119,9.8039
120,9.0336
121,8.7675
122,9.5238
123,9.5238
124,9.5238
125,9.5238
126,9.5238
127,9.5238
128,9.6305
129,11.4846
130,11.9048
131,9.2857
132,8.9636
133,8.9636
134,8.9636
135,9.4571
136,10.084
137,8.3296
138,1.3739
139,-1.1499
140,-2.521
141,-4.7472
142,-4.7619
143,-6.3225
144,-8.2265
145,-9.4971
146,-9.8039
147,-12.9118
148,-16.3445
149,-18.1926
150,-18.2073
151,-20.0649
152,-20.4482
153,-21.2001
154,-21.8487
155,-20.7003
156,-12.4429
157,-9.3104
158,-8.1085
159,-4.7086
160,0.98038
161,3.1653
162,4.4081
163,1.2185
164,0.78698
165,-1.1205
166,-1.1205
167,-1.1205
168,-1.1205
169,-1.1205
170,-1.1205
171,-1.1205
172,-1.1205
173,-1.1205
174,-1.1205
175,-1.1205
176,-1.1205
177,-1.1205
178,-1.1205
179,-1.1205
180,-1.1205
181,-1.1205
182,-1.1205
